device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=gaussian
round   1 | acc=0.4011 | bsr=nan | agg=0.19s
round   2 | acc=0.6306 | bsr=nan | agg=0.19s
round   3 | acc=0.6909 | bsr=nan | agg=0.18s
round   4 | acc=0.7240 | bsr=nan | agg=0.19s
round   5 | acc=0.7428 | bsr=nan | agg=0.18s
round   6 | acc=0.7499 | bsr=nan | agg=0.19s
round   7 | acc=0.7527 | bsr=nan | agg=0.19s
round   8 | acc=0.7651 | bsr=nan | agg=0.18s
round   9 | acc=0.7804 | bsr=nan | agg=0.18s
round  10 | acc=0.7887 | bsr=nan | agg=0.18s
round  11 | acc=0.7910 | bsr=nan | agg=0.18s
round  12 | acc=0.7921 | bsr=nan | agg=0.18s
round  13 | acc=0.7952 | bsr=nan | agg=0.19s
round  14 | acc=0.8113 | bsr=nan | agg=0.19s
round  15 | acc=0.8114 | bsr=nan | agg=0.19s
round  16 | acc=0.8172 | bsr=nan | agg=0.19s
round  17 | acc=0.8238 | bsr=nan | agg=0.19s
round  18 | acc=0.8261 | bsr=nan | agg=0.20s
round  19 | acc=0.8307 | bsr=nan | agg=0.19s
round  20 | acc=0.8347 | bsr=nan | agg=0.19s
round  21 | acc=0.8335 | bsr=nan | agg=0.19s
round  22 | acc=0.8415 | bsr=nan | agg=0.20s
round  23 | acc=0.8420 | bsr=nan | agg=0.20s
round  24 | acc=0.8429 | bsr=nan | agg=0.19s
round  25 | acc=0.8464 | bsr=nan | agg=0.20s
round  26 | acc=0.8444 | bsr=nan | agg=0.19s
round  27 | acc=0.8483 | bsr=nan | agg=0.19s
round  28 | acc=0.8521 | bsr=nan | agg=0.19s
round  29 | acc=0.8490 | bsr=nan | agg=0.19s
round  30 | acc=0.8561 | bsr=nan | agg=0.19s
round  31 | acc=0.8618 | bsr=nan | agg=0.19s
round  32 | acc=0.8614 | bsr=nan | agg=0.19s
round  33 | acc=0.8638 | bsr=nan | agg=0.19s
round  34 | acc=0.8625 | bsr=nan | agg=0.20s
round  35 | acc=0.8624 | bsr=nan | agg=0.19s
round  36 | acc=0.8637 | bsr=nan | agg=0.19s
round  37 | acc=0.8656 | bsr=nan | agg=0.19s
round  38 | acc=0.8636 | bsr=nan | agg=0.19s
round  39 | acc=0.8680 | bsr=nan | agg=0.18s
round  40 | acc=0.8674 | bsr=nan | agg=0.19s
round  41 | acc=0.8664 | bsr=nan | agg=0.19s
round  42 | acc=0.8724 | bsr=nan | agg=0.19s
round  43 | acc=0.8712 | bsr=nan | agg=0.19s
round  44 | acc=0.8721 | bsr=nan | agg=0.19s
round  45 | acc=0.8741 | bsr=nan | agg=0.19s
round  46 | acc=0.8733 | bsr=nan | agg=0.19s
round  47 | acc=0.8735 | bsr=nan | agg=0.19s
round  48 | acc=0.8759 | bsr=nan | agg=0.20s
round  49 | acc=0.8755 | bsr=nan | agg=0.18s
round  50 | acc=0.8770 | bsr=nan | agg=0.19s
round  51 | acc=0.8774 | bsr=nan | agg=0.20s
round  52 | acc=0.8773 | bsr=nan | agg=0.19s
round  53 | acc=0.8767 | bsr=nan | agg=0.20s
round  54 | acc=0.8767 | bsr=nan | agg=0.20s
round  55 | acc=0.8816 | bsr=nan | agg=0.19s
round  56 | acc=0.8797 | bsr=nan | agg=0.19s
round  57 | acc=0.8803 | bsr=nan | agg=0.20s
round  58 | acc=0.8797 | bsr=nan | agg=0.19s
round  59 | acc=0.8831 | bsr=nan | agg=0.20s
round  60 | acc=0.8821 | bsr=nan | agg=0.20s
