device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=gaussian
round   1 | acc=0.4447 | bsr=nan | agg=0.20s
round   2 | acc=0.6304 | bsr=nan | agg=0.19s
round   3 | acc=0.6984 | bsr=nan | agg=0.19s
round   4 | acc=0.7262 | bsr=nan | agg=0.19s
round   5 | acc=0.7503 | bsr=nan | agg=0.19s
round   6 | acc=0.7541 | bsr=nan | agg=0.20s
round   7 | acc=0.7688 | bsr=nan | agg=0.19s
round   8 | acc=0.7687 | bsr=nan | agg=0.19s
round   9 | acc=0.7862 | bsr=nan | agg=0.19s
round  10 | acc=0.7892 | bsr=nan | agg=0.19s
round  11 | acc=0.7948 | bsr=nan | agg=0.20s
round  12 | acc=0.8027 | bsr=nan | agg=0.20s
round  13 | acc=0.8078 | bsr=nan | agg=0.20s
round  14 | acc=0.8161 | bsr=nan | agg=0.19s
round  15 | acc=0.8156 | bsr=nan | agg=0.20s
round  16 | acc=0.8208 | bsr=nan | agg=0.19s
round  17 | acc=0.8276 | bsr=nan | agg=0.20s
round  18 | acc=0.8323 | bsr=nan | agg=0.20s
round  19 | acc=0.8363 | bsr=nan | agg=0.20s
round  20 | acc=0.8397 | bsr=nan | agg=0.20s
round  21 | acc=0.8381 | bsr=nan | agg=0.20s
round  22 | acc=0.8469 | bsr=nan | agg=0.20s
round  23 | acc=0.8467 | bsr=nan | agg=0.19s
round  24 | acc=0.8466 | bsr=nan | agg=0.19s
round  25 | acc=0.8507 | bsr=nan | agg=0.20s
round  26 | acc=0.8499 | bsr=nan | agg=0.20s
round  27 | acc=0.8521 | bsr=nan | agg=0.20s
round  28 | acc=0.8543 | bsr=nan | agg=0.19s
round  29 | acc=0.8547 | bsr=nan | agg=0.19s
round  30 | acc=0.8594 | bsr=nan | agg=0.20s
round  31 | acc=0.8621 | bsr=nan | agg=0.20s
round  32 | acc=0.8620 | bsr=nan | agg=0.20s
round  33 | acc=0.8641 | bsr=nan | agg=0.20s
round  34 | acc=0.8649 | bsr=nan | agg=0.19s
round  35 | acc=0.8627 | bsr=nan | agg=0.20s
round  36 | acc=0.8656 | bsr=nan | agg=0.20s
round  37 | acc=0.8665 | bsr=nan | agg=0.20s
round  38 | acc=0.8652 | bsr=nan | agg=0.20s
round  39 | acc=0.8695 | bsr=nan | agg=0.20s
round  40 | acc=0.8683 | bsr=nan | agg=0.19s
round  41 | acc=0.8685 | bsr=nan | agg=0.19s
round  42 | acc=0.8736 | bsr=nan | agg=0.19s
round  43 | acc=0.8733 | bsr=nan | agg=0.19s
round  44 | acc=0.8728 | bsr=nan | agg=0.19s
round  45 | acc=0.8758 | bsr=nan | agg=0.19s
round  46 | acc=0.8752 | bsr=nan | agg=0.19s
round  47 | acc=0.8742 | bsr=nan | agg=0.19s
round  48 | acc=0.8760 | bsr=nan | agg=0.19s
round  49 | acc=0.8777 | bsr=nan | agg=0.19s
round  50 | acc=0.8772 | bsr=nan | agg=0.19s
round  51 | acc=0.8803 | bsr=nan | agg=0.19s
round  52 | acc=0.8788 | bsr=nan | agg=0.19s
round  53 | acc=0.8781 | bsr=nan | agg=0.19s
round  54 | acc=0.8790 | bsr=nan | agg=0.19s
round  55 | acc=0.8817 | bsr=nan | agg=0.19s
round  56 | acc=0.8821 | bsr=nan | agg=0.19s
round  57 | acc=0.8822 | bsr=nan | agg=0.19s
round  58 | acc=0.8828 | bsr=nan | agg=0.19s
round  59 | acc=0.8849 | bsr=nan | agg=0.19s
round  60 | acc=0.8834 | bsr=nan | agg=0.19s
