device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.0515 | bsr=nan | agg=0.19s | det_auroc=0.969 | tpr@5=0.50
round   2 | acc=0.0526 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.0533 | bsr=nan | agg=0.19s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.0529 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.0562 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.0580 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.0619 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.0655 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.0694 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.0734 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.0775 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.0845 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.0906 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.0989 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.1107 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.1266 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.1549 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.1876 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.2237 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.2606 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.2904 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.3205 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.3486 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.3785 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.4071 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.4360 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.4670 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.4944 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.5160 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.5371 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.5542 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.5686 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
