device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fedavg attack=label_flip
round   1 | acc=0.3743 | bsr=nan | agg=0.01s
round   2 | acc=0.6409 | bsr=nan | agg=0.01s
round   3 | acc=0.6977 | bsr=nan | agg=0.01s
round   4 | acc=0.7089 | bsr=nan | agg=0.01s
round   5 | acc=0.7454 | bsr=nan | agg=0.01s
round   6 | acc=0.7320 | bsr=nan | agg=0.01s
round   7 | acc=0.7615 | bsr=nan | agg=0.01s
round   8 | acc=0.7529 | bsr=nan | agg=0.01s
round   9 | acc=0.7719 | bsr=nan | agg=0.01s
round  10 | acc=0.7660 | bsr=nan | agg=0.01s
round  11 | acc=0.7738 | bsr=nan | agg=0.01s
round  12 | acc=0.7794 | bsr=nan | agg=0.01s
round  13 | acc=0.7780 | bsr=nan | agg=0.01s
round  14 | acc=0.7904 | bsr=nan | agg=0.01s
round  15 | acc=0.7876 | bsr=nan | agg=0.01s
round  16 | acc=0.7897 | bsr=nan | agg=0.01s
round  17 | acc=0.7961 | bsr=nan | agg=0.01s
round  18 | acc=0.8002 | bsr=nan | agg=0.01s
round  19 | acc=0.8038 | bsr=nan | agg=0.01s
round  20 | acc=0.8153 | bsr=nan | agg=0.01s
round  21 | acc=0.8020 | bsr=nan | agg=0.01s
round  22 | acc=0.8224 | bsr=nan | agg=0.01s
round  23 | acc=0.8052 | bsr=nan | agg=0.01s
round  24 | acc=0.8292 | bsr=nan | agg=0.01s
round  25 | acc=0.8162 | bsr=nan | agg=0.01s
round  26 | acc=0.8341 | bsr=nan | agg=0.01s
round  27 | acc=0.8242 | bsr=nan | agg=0.01s
round  28 | acc=0.8369 | bsr=nan | agg=0.01s
round  29 | acc=0.8334 | bsr=nan | agg=0.01s
round  30 | acc=0.8426 | bsr=nan | agg=0.01s
round  31 | acc=0.8421 | bsr=nan | agg=0.01s
round  32 | acc=0.8513 | bsr=nan | agg=0.01s
round  33 | acc=0.8394 | bsr=nan | agg=0.01s
round  34 | acc=0.8511 | bsr=nan | agg=0.01s
round  35 | acc=0.8425 | bsr=nan | agg=0.01s
round  36 | acc=0.8502 | bsr=nan | agg=0.01s
round  37 | acc=0.8470 | bsr=nan | agg=0.01s
round  38 | acc=0.8536 | bsr=nan | agg=0.01s
round  39 | acc=0.8576 | bsr=nan | agg=0.01s
round  40 | acc=0.8569 | bsr=nan | agg=0.01s
round  41 | acc=0.8511 | bsr=nan | agg=0.01s
round  42 | acc=0.8628 | bsr=nan | agg=0.01s
round  43 | acc=0.8598 | bsr=nan | agg=0.01s
round  44 | acc=0.8645 | bsr=nan | agg=0.01s
round  45 | acc=0.8664 | bsr=nan | agg=0.01s
round  46 | acc=0.8641 | bsr=nan | agg=0.01s
round  47 | acc=0.8596 | bsr=nan | agg=0.01s
round  48 | acc=0.8678 | bsr=nan | agg=0.01s
round  49 | acc=0.8617 | bsr=nan | agg=0.01s
round  50 | acc=0.8669 | bsr=nan | agg=0.01s
round  51 | acc=0.8706 | bsr=nan | agg=0.01s
round  52 | acc=0.8707 | bsr=nan | agg=0.01s
round  53 | acc=0.8655 | bsr=nan | agg=0.01s
round  54 | acc=0.8731 | bsr=nan | agg=0.01s
round  55 | acc=0.8690 | bsr=nan | agg=0.01s
round  56 | acc=0.8752 | bsr=nan | agg=0.01s
round  57 | acc=0.8688 | bsr=nan | agg=0.01s
round  58 | acc=0.8739 | bsr=nan | agg=0.01s
round  59 | acc=0.8706 | bsr=nan | agg=0.01s
round  60 | acc=0.8770 | bsr=nan | agg=0.01s
