device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=label_flip
round   1 | acc=0.0510 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.0543 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.0587 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.0622 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.0657 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.0698 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.0743 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.0788 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.0835 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.0886 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.0927 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.0959 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.0997 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.1048 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.1136 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.1303 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.1530 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.1809 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.2018 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.2202 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.2399 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.2616 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.2884 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.3219 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.3640 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.4064 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.4424 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.4784 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.5168 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.5487 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.5734 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.5994 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.6140 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.6296 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.6401 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.6466 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.6527 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.6609 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.6644 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.6710 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.6748 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.6765 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.6771 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.6781 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
