device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=label_flip
round   1 | acc=0.3795 | bsr=nan | agg=0.81s | det_auroc=0.141 | tpr@5=0.00
round   2 | acc=0.6362 | bsr=nan | agg=0.80s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.6975 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7179 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7481 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7509 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7590 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7659 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7846 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7888 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7928 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8009 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8040 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8153 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8130 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8218 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8285 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8329 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8304 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8398 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8387 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8464 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8470 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8466 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8493 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8505 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8525 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8539 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8546 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8592 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8612 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8609 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8638 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
