device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=lie
round   1 | acc=0.3685 | bsr=nan | agg=0.80s | det_auroc=0.750 | tpr@5=0.00
round   2 | acc=0.6644 | bsr=nan | agg=0.78s | det_auroc=0.750 | tpr@5=0.00
round   3 | acc=0.6772 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round   4 | acc=0.6911 | bsr=nan | agg=0.79s | det_auroc=0.750 | tpr@5=0.00
round   5 | acc=0.7319 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round   6 | acc=0.7465 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round   7 | acc=0.7668 | bsr=nan | agg=0.80s | det_auroc=0.812 | tpr@5=0.00
round   8 | acc=0.7687 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round   9 | acc=0.7782 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  10 | acc=0.7838 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  11 | acc=0.7929 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  12 | acc=0.8026 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  13 | acc=0.8047 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  14 | acc=0.8169 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  15 | acc=0.8147 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  16 | acc=0.8226 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  17 | acc=0.8312 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  18 | acc=0.8322 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  19 | acc=0.8375 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  20 | acc=0.8403 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  21 | acc=0.8398 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  22 | acc=0.8484 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  23 | acc=0.8462 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  24 | acc=0.8523 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  25 | acc=0.8529 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  26 | acc=0.8534 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  27 | acc=0.8552 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  28 | acc=0.8556 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  29 | acc=0.8559 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  30 | acc=0.8606 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  31 | acc=0.8614 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  32 | acc=0.8616 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  33 | acc=0.8634 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  34 | acc=0.8634 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  35 | acc=0.8643 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  36 | acc=0.8668 | bsr=nan | agg=0.77s | det_auroc=0.750 | tpr@5=0.00
round  37 | acc=0.8654 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  38 | acc=0.8661 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  39 | acc=0.8696 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  40 | acc=0.8650 | bsr=nan | agg=0.77s | det_auroc=0.750 | tpr@5=0.00
round  41 | acc=0.8684 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  42 | acc=0.8695 | bsr=nan | agg=0.77s | det_auroc=0.750 | tpr@5=0.00
round  43 | acc=0.8699 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  44 | acc=0.8711 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  45 | acc=0.8715 | bsr=nan | agg=0.77s | det_auroc=0.750 | tpr@5=0.00
round  46 | acc=0.8707 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  47 | acc=0.8692 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  48 | acc=0.8733 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  49 | acc=0.8747 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
