device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=min_max
round   1 | acc=0.0477 | bsr=nan | agg=2.62s | det_auroc=0.250 | tpr@5=0.00
round   2 | acc=0.0480 | bsr=nan | agg=2.57s | det_auroc=0.375 | tpr@5=0.00
round   3 | acc=0.0490 | bsr=nan | agg=2.55s | det_auroc=0.188 | tpr@5=0.00
round   4 | acc=0.0501 | bsr=nan | agg=2.60s | det_auroc=0.750 | tpr@5=0.00
round   5 | acc=0.0498 | bsr=nan | agg=2.57s | det_auroc=0.500 | tpr@5=0.00
round   6 | acc=0.0507 | bsr=nan | agg=2.58s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.0520 | bsr=nan | agg=2.55s | det_auroc=0.938 | tpr@5=0.00
round   8 | acc=0.0541 | bsr=nan | agg=2.58s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.0570 | bsr=nan | agg=2.56s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.0585 | bsr=nan | agg=2.56s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.0619 | bsr=nan | agg=2.56s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.0652 | bsr=nan | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.0703 | bsr=nan | agg=2.58s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.0733 | bsr=nan | agg=2.56s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.0757 | bsr=nan | agg=2.60s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.0783 | bsr=nan | agg=2.58s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.0854 | bsr=nan | agg=2.59s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.0917 | bsr=nan | agg=2.61s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.0985 | bsr=nan | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.1037 | bsr=nan | agg=2.55s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.1149 | bsr=nan | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.1215 | bsr=nan | agg=2.59s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.1445 | bsr=nan | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.1610 | bsr=nan | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.1792 | bsr=nan | agg=2.59s | det_auroc=1.000 | tpr@5=1.00
