device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=min_max
round   1 | acc=0.3676 | bsr=nan | agg=0.19s
round   2 | acc=0.5350 | bsr=nan | agg=0.17s
round   3 | acc=0.6252 | bsr=nan | agg=0.18s
round   4 | acc=0.6800 | bsr=nan | agg=0.18s
round   5 | acc=0.6878 | bsr=nan | agg=0.18s
round   6 | acc=0.6988 | bsr=nan | agg=0.17s
round   7 | acc=0.7138 | bsr=nan | agg=0.18s
round   8 | acc=0.7213 | bsr=nan | agg=0.17s
round   9 | acc=0.7376 | bsr=nan | agg=0.17s
round  10 | acc=0.7425 | bsr=nan | agg=0.17s
round  11 | acc=0.7559 | bsr=nan | agg=0.17s
round  12 | acc=0.7490 | bsr=nan | agg=0.17s
round  13 | acc=0.7539 | bsr=nan | agg=0.17s
round  14 | acc=0.7591 | bsr=nan | agg=0.17s
round  15 | acc=0.7704 | bsr=nan | agg=0.19s
round  16 | acc=0.7793 | bsr=nan | agg=0.18s
round  17 | acc=0.7835 | bsr=nan | agg=0.17s
round  18 | acc=0.7879 | bsr=nan | agg=0.17s
round  19 | acc=0.7934 | bsr=nan | agg=0.18s
round  20 | acc=0.8005 | bsr=nan | agg=0.18s
round  21 | acc=0.7951 | bsr=nan | agg=0.17s
round  22 | acc=0.8040 | bsr=nan | agg=0.18s
round  23 | acc=0.8022 | bsr=nan | agg=0.18s
round  24 | acc=0.8033 | bsr=nan | agg=0.18s
round  25 | acc=0.8051 | bsr=nan | agg=0.19s
round  26 | acc=0.8048 | bsr=nan | agg=0.18s
round  27 | acc=0.8079 | bsr=nan | agg=0.18s
round  28 | acc=0.8058 | bsr=nan | agg=0.18s
round  29 | acc=0.8077 | bsr=nan | agg=0.18s
round  30 | acc=0.8129 | bsr=nan | agg=0.18s
round  31 | acc=0.8165 | bsr=nan | agg=0.18s
round  32 | acc=0.8164 | bsr=nan | agg=0.17s
round  33 | acc=0.8239 | bsr=nan | agg=0.19s
round  34 | acc=0.8259 | bsr=nan | agg=0.18s
round  35 | acc=0.8260 | bsr=nan | agg=0.18s
round  36 | acc=0.8275 | bsr=nan | agg=0.18s
round  37 | acc=0.8254 | bsr=nan | agg=0.19s
round  38 | acc=0.8231 | bsr=nan | agg=0.18s
round  39 | acc=0.8258 | bsr=nan | agg=0.18s
round  40 | acc=0.8303 | bsr=nan | agg=0.18s
round  41 | acc=0.8299 | bsr=nan | agg=0.19s
round  42 | acc=0.8400 | bsr=nan | agg=0.18s
round  43 | acc=0.8356 | bsr=nan | agg=0.19s
round  44 | acc=0.8405 | bsr=nan | agg=0.18s
round  45 | acc=0.8414 | bsr=nan | agg=0.19s
round  46 | acc=0.8415 | bsr=nan | agg=0.19s
round  47 | acc=0.8448 | bsr=nan | agg=0.19s
round  48 | acc=0.8438 | bsr=nan | agg=0.17s
round  49 | acc=0.8437 | bsr=nan | agg=0.19s
round  50 | acc=0.8447 | bsr=nan | agg=0.18s
round  51 | acc=0.8467 | bsr=nan | agg=0.18s
round  52 | acc=0.8429 | bsr=nan | agg=0.18s
round  53 | acc=0.8449 | bsr=nan | agg=0.19s
round  54 | acc=0.8447 | bsr=nan | agg=0.19s
round  55 | acc=0.8466 | bsr=nan | agg=0.18s
round  56 | acc=0.8466 | bsr=nan | agg=0.18s
round  57 | acc=0.8476 | bsr=nan | agg=0.18s
round  58 | acc=0.8503 | bsr=nan | agg=0.19s
round  59 | acc=0.8501 | bsr=nan | agg=0.18s
round  60 | acc=0.8509 | bsr=nan | agg=0.18s
