device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=min_max
round   1 | acc=0.4660 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.6383 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.7081 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7275 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7563 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7546 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7642 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7704 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7881 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7923 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7937 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8033 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8053 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8172 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8152 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8234 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8307 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8353 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8334 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8400 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8391 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8484 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8467 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8482 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8480 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8520 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8542 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8539 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8559 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8596 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8626 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8619 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8644 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8645 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8621 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8657 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8668 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8651 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8701 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.8679 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.8681 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.8722 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.8730 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.8727 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.8764 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.8739 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.8761 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.8771 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.8778 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.8778 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.8802 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.8790 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.8775 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8789 | bsr=nan | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8811 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.8813 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.8807 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8829 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.8845 | bsr=nan | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.8839 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
