device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=sign_flip
round   1 | acc=0.0498 | bsr=nan | agg=0.17s | det_auroc=0.969 | tpr@5=0.50
round   2 | acc=0.0514 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.0527 | bsr=nan | agg=0.17s | det_auroc=0.969 | tpr@5=0.75
round   4 | acc=0.0541 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.0570 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.0588 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.0622 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.0660 | bsr=nan | agg=0.17s | det_auroc=0.969 | tpr@5=0.75
round   9 | acc=0.0700 | bsr=nan | agg=0.16s | det_auroc=0.969 | tpr@5=0.75
round  10 | acc=0.0740 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.0772 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.0829 | bsr=nan | agg=0.17s | det_auroc=0.984 | tpr@5=0.75
round  13 | acc=0.0875 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.0943 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.0996 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  16 | acc=0.1070 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.1192 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.1408 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.1600 | bsr=nan | agg=0.16s | det_auroc=0.969 | tpr@5=0.75
round  20 | acc=0.1882 | bsr=nan | agg=0.16s | det_auroc=0.969 | tpr@5=0.50
round  21 | acc=0.2207 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.2536 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.2722 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  24 | acc=0.2991 | bsr=nan | agg=0.16s | det_auroc=0.969 | tpr@5=0.50
round  25 | acc=0.3308 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  26 | acc=0.3756 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.4178 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.4538 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.4839 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.5087 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.5283 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.5463 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.5595 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.5647 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  35 | acc=0.5710 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.5778 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.5812 | bsr=nan | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  38 | acc=0.5887 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.5902 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  40 | acc=0.5916 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  41 | acc=0.5995 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.6064 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.6071 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  44 | acc=0.6133 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.6185 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  46 | acc=0.6170 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
