device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.0480 | bsr=nan | agg=0.19s | det_auroc=0.625 | tpr@5=0.00
round   2 | acc=0.0482 | bsr=nan | agg=0.15s | det_auroc=0.609 | tpr@5=0.00
round   3 | acc=0.0490 | bsr=nan | agg=0.17s | det_auroc=0.531 | tpr@5=0.00
round   4 | acc=0.0502 | bsr=nan | agg=0.17s | det_auroc=0.594 | tpr@5=0.25
round   5 | acc=0.0515 | bsr=nan | agg=0.16s | det_auroc=0.594 | tpr@5=0.00
round   6 | acc=0.0542 | bsr=nan | agg=0.18s | det_auroc=0.672 | tpr@5=0.00
round   7 | acc=0.0585 | bsr=nan | agg=0.17s | det_auroc=0.562 | tpr@5=0.00
round   8 | acc=0.0599 | bsr=nan | agg=0.18s | det_auroc=0.500 | tpr@5=0.00
round   9 | acc=0.0634 | bsr=nan | agg=0.19s | det_auroc=0.578 | tpr@5=0.00
round  10 | acc=0.0688 | bsr=nan | agg=0.16s | det_auroc=0.609 | tpr@5=0.25
round  11 | acc=0.0766 | bsr=nan | agg=0.17s | det_auroc=0.641 | tpr@5=0.00
round  12 | acc=0.0826 | bsr=nan | agg=0.16s | det_auroc=0.594 | tpr@5=0.00
round  13 | acc=0.0909 | bsr=nan | agg=0.16s | det_auroc=0.656 | tpr@5=0.00
round  14 | acc=0.1004 | bsr=nan | agg=0.17s | det_auroc=0.562 | tpr@5=0.00
round  15 | acc=0.1156 | bsr=nan | agg=0.16s | det_auroc=0.594 | tpr@5=0.00
round  16 | acc=0.1343 | bsr=nan | agg=0.16s | det_auroc=0.578 | tpr@5=0.00
round  17 | acc=0.1656 | bsr=nan | agg=0.17s | det_auroc=0.625 | tpr@5=0.00
round  18 | acc=0.2069 | bsr=nan | agg=0.14s | det_auroc=0.641 | tpr@5=0.00
round  19 | acc=0.2481 | bsr=nan | agg=0.16s | det_auroc=0.656 | tpr@5=0.00
round  20 | acc=0.2877 | bsr=nan | agg=0.17s | det_auroc=0.719 | tpr@5=0.00
round  21 | acc=0.3218 | bsr=nan | agg=0.17s | det_auroc=0.625 | tpr@5=0.00
round  22 | acc=0.3478 | bsr=nan | agg=0.18s | det_auroc=0.703 | tpr@5=0.00
round  23 | acc=0.3712 | bsr=nan | agg=0.17s | det_auroc=0.672 | tpr@5=0.00
round  24 | acc=0.3933 | bsr=nan | agg=0.16s | det_auroc=0.641 | tpr@5=0.00
round  25 | acc=0.4111 | bsr=nan | agg=0.15s | det_auroc=0.766 | tpr@5=0.00
round  26 | acc=0.4311 | bsr=nan | agg=0.16s | det_auroc=0.672 | tpr@5=0.00
round  27 | acc=0.4492 | bsr=nan | agg=0.16s | det_auroc=0.734 | tpr@5=0.00
round  28 | acc=0.4655 | bsr=nan | agg=0.17s | det_auroc=0.594 | tpr@5=0.25
round  29 | acc=0.4855 | bsr=nan | agg=0.16s | det_auroc=0.766 | tpr@5=0.25
round  30 | acc=0.5037 | bsr=nan | agg=0.16s | det_auroc=0.625 | tpr@5=0.00
round  31 | acc=0.5257 | bsr=nan | agg=0.15s | det_auroc=0.672 | tpr@5=0.00
round  32 | acc=0.5479 | bsr=nan | agg=0.15s | det_auroc=0.594 | tpr@5=0.00
round  33 | acc=0.5643 | bsr=nan | agg=0.15s | det_auroc=0.688 | tpr@5=0.25
round  34 | acc=0.5883 | bsr=nan | agg=0.15s | det_auroc=0.547 | tpr@5=0.25
round  35 | acc=0.6083 | bsr=nan | agg=0.17s | det_auroc=0.688 | tpr@5=0.00
round  36 | acc=0.6245 | bsr=nan | agg=0.16s | det_auroc=0.703 | tpr@5=0.00
round  37 | acc=0.6375 | bsr=nan | agg=0.16s | det_auroc=0.734 | tpr@5=0.00
