device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=spurious_feature
round   1 | acc=0.0502 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round   2 | acc=0.0531 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round   3 | acc=0.0560 | bsr=nan | agg=0.04s | det_auroc=0.703 | tpr@5=0.00
round   4 | acc=0.0593 | bsr=nan | agg=0.04s | det_auroc=0.688 | tpr@5=0.00
round   5 | acc=0.0622 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round   6 | acc=0.0656 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round   7 | acc=0.0704 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round   8 | acc=0.0734 | bsr=nan | agg=0.04s | det_auroc=0.766 | tpr@5=0.00
round   9 | acc=0.0782 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round  10 | acc=0.0829 | bsr=nan | agg=0.04s | det_auroc=0.797 | tpr@5=0.00
round  11 | acc=0.0878 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round  12 | acc=0.0925 | bsr=nan | agg=0.04s | det_auroc=0.766 | tpr@5=0.00
round  13 | acc=0.0968 | bsr=nan | agg=0.04s | det_auroc=0.812 | tpr@5=0.00
round  14 | acc=0.1043 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round  15 | acc=0.1171 | bsr=nan | agg=0.04s | det_auroc=0.812 | tpr@5=0.00
round  16 | acc=0.1384 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  17 | acc=0.1646 | bsr=nan | agg=0.04s | det_auroc=0.703 | tpr@5=0.00
round  18 | acc=0.1968 | bsr=nan | agg=0.04s | det_auroc=0.844 | tpr@5=0.00
round  19 | acc=0.2209 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round  20 | acc=0.2498 | bsr=nan | agg=0.04s | det_auroc=0.797 | tpr@5=0.00
round  21 | acc=0.2789 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  22 | acc=0.3100 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round  23 | acc=0.3434 | bsr=nan | agg=0.04s | det_auroc=0.828 | tpr@5=0.00
round  24 | acc=0.3739 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round  25 | acc=0.4064 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round  26 | acc=0.4358 | bsr=nan | agg=0.04s | det_auroc=0.766 | tpr@5=0.00
round  27 | acc=0.4627 | bsr=nan | agg=0.04s | det_auroc=0.656 | tpr@5=0.00
round  28 | acc=0.4827 | bsr=nan | agg=0.04s | det_auroc=0.688 | tpr@5=0.00
round  29 | acc=0.4996 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round  30 | acc=0.5211 | bsr=nan | agg=0.04s | det_auroc=0.703 | tpr@5=0.00
round  31 | acc=0.5383 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  32 | acc=0.5603 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round  33 | acc=0.5750 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round  34 | acc=0.5888 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round  35 | acc=0.6036 | bsr=nan | agg=0.04s | det_auroc=0.703 | tpr@5=0.00
round  36 | acc=0.6154 | bsr=nan | agg=0.04s | det_auroc=0.734 | tpr@5=0.00
round  37 | acc=0.6242 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  38 | acc=0.6351 | bsr=nan | agg=0.04s | det_auroc=0.688 | tpr@5=0.00
round  39 | acc=0.6420 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round  40 | acc=0.6486 | bsr=nan | agg=0.04s | det_auroc=0.641 | tpr@5=0.00
round  41 | acc=0.6552 | bsr=nan | agg=0.04s | det_auroc=0.641 | tpr@5=0.00
round  42 | acc=0.6602 | bsr=nan | agg=0.04s | det_auroc=0.594 | tpr@5=0.00
round  43 | acc=0.6658 | bsr=nan | agg=0.04s | det_auroc=0.625 | tpr@5=0.00
round  44 | acc=0.6698 | bsr=nan | agg=0.04s | det_auroc=0.594 | tpr@5=0.00
round  45 | acc=0.6714 | bsr=nan | agg=0.04s | det_auroc=0.594 | tpr@5=0.00
round  46 | acc=0.6732 | bsr=nan | agg=0.04s | det_auroc=0.672 | tpr@5=0.00
round  47 | acc=0.6769 | bsr=nan | agg=0.04s | det_auroc=0.562 | tpr@5=0.00
round  48 | acc=0.6784 | bsr=nan | agg=0.04s | det_auroc=0.609 | tpr@5=0.00
round  49 | acc=0.6803 | bsr=nan | agg=0.04s | det_auroc=0.688 | tpr@5=0.00
round  50 | acc=0.6809 | bsr=nan | agg=0.04s | det_auroc=0.766 | tpr@5=0.00
round  51 | acc=0.6804 | bsr=nan | agg=0.04s | det_auroc=0.641 | tpr@5=0.00
round  52 | acc=0.6808 | bsr=nan | agg=0.04s | det_auroc=0.594 | tpr@5=0.00
round  53 | acc=0.6803 | bsr=nan | agg=0.04s | det_auroc=0.641 | tpr@5=0.00
round  54 | acc=0.6801 | bsr=nan | agg=0.04s | det_auroc=0.625 | tpr@5=0.00
round  55 | acc=0.6807 | bsr=nan | agg=0.04s | det_auroc=0.625 | tpr@5=0.00
round  56 | acc=0.6800 | bsr=nan | agg=0.04s | det_auroc=0.609 | tpr@5=0.00
round  57 | acc=0.6819 | bsr=nan | agg=0.04s | det_auroc=0.594 | tpr@5=0.00
round  58 | acc=0.6821 | bsr=nan | agg=0.04s | det_auroc=0.609 | tpr@5=0.00
round  59 | acc=0.6830 | bsr=nan | agg=0.04s | det_auroc=0.594 | tpr@5=0.00
round  60 | acc=0.6802 | bsr=nan | agg=0.04s | det_auroc=0.531 | tpr@5=0.00
