device=cuda dataset=fraud(real) clients=20 malicious=4 defense=trimmed_mean attack=constrained_backdoor
round   1 | acc=0.6890 | bsr=0.000 | agg=0.01s
round   2 | acc=0.7256 | bsr=0.000 | agg=0.01s
round   3 | acc=0.7652 | bsr=0.000 | agg=0.01s
round   4 | acc=0.7973 | bsr=0.000 | agg=0.00s
round   5 | acc=0.8293 | bsr=0.000 | agg=0.01s
round   6 | acc=0.8537 | bsr=0.000 | agg=0.01s
round   7 | acc=0.8796 | bsr=0.000 | agg=0.01s
round   8 | acc=0.8887 | bsr=0.000 | agg=0.01s
round   9 | acc=0.9101 | bsr=0.000 | agg=0.01s
round  10 | acc=0.9207 | bsr=0.000 | agg=0.01s
round  11 | acc=0.9268 | bsr=0.000 | agg=0.01s
round  12 | acc=0.9314 | bsr=0.000 | agg=0.01s
round  13 | acc=0.9390 | bsr=0.000 | agg=0.01s
round  14 | acc=0.9451 | bsr=0.000 | agg=0.01s
round  15 | acc=0.9466 | bsr=0.000 | agg=0.01s
round  16 | acc=0.9512 | bsr=0.000 | agg=0.01s
round  17 | acc=0.9543 | bsr=0.002 | agg=0.01s
round  18 | acc=0.9573 | bsr=0.002 | agg=0.01s
round  19 | acc=0.9619 | bsr=0.002 | agg=0.00s
round  20 | acc=0.9649 | bsr=0.007 | agg=0.01s
round  21 | acc=0.9665 | bsr=0.023 | agg=0.01s
round  22 | acc=0.9680 | bsr=0.083 | agg=0.01s
round  23 | acc=0.9680 | bsr=0.263 | agg=0.01s
round  24 | acc=0.9680 | bsr=0.509 | agg=0.01s
round  25 | acc=0.9680 | bsr=0.700 | agg=0.01s
round  26 | acc=0.9680 | bsr=0.869 | agg=0.01s
round  27 | acc=0.9695 | bsr=0.923 | agg=0.01s
round  28 | acc=0.9695 | bsr=0.966 | agg=0.01s
round  29 | acc=0.9695 | bsr=0.984 | agg=0.01s
round  30 | acc=0.9695 | bsr=0.996 | agg=0.00s
round  31 | acc=0.9695 | bsr=0.998 | agg=0.00s
round  32 | acc=0.9710 | bsr=0.998 | agg=0.01s
round  33 | acc=0.9695 | bsr=0.998 | agg=0.01s
round  34 | acc=0.9695 | bsr=0.998 | agg=0.01s
round  35 | acc=0.9695 | bsr=0.998 | agg=0.01s
round  36 | acc=0.9710 | bsr=1.000 | agg=0.01s
round  37 | acc=0.9710 | bsr=1.000 | agg=0.01s
round  38 | acc=0.9710 | bsr=1.000 | agg=0.01s
round  39 | acc=0.9710 | bsr=1.000 | agg=0.01s
round  40 | acc=0.9710 | bsr=1.000 | agg=0.01s
