device=cuda dataset=fraud(real) clients=20 malicious=4 defense=median attack=gaussian
round   1 | acc=0.6829 | bsr=nan | agg=0.00s
round   2 | acc=0.7043 | bsr=nan | agg=0.00s
round   3 | acc=0.7393 | bsr=nan | agg=0.00s
round   4 | acc=0.7744 | bsr=nan | agg=0.00s
round   5 | acc=0.8079 | bsr=nan | agg=0.00s
round   6 | acc=0.8293 | bsr=nan | agg=0.00s
round   7 | acc=0.8445 | bsr=nan | agg=0.00s
round   8 | acc=0.8643 | bsr=nan | agg=0.01s
round   9 | acc=0.8872 | bsr=nan | agg=0.01s
round  10 | acc=0.8979 | bsr=nan | agg=0.01s
round  11 | acc=0.9055 | bsr=nan | agg=0.01s
round  12 | acc=0.9207 | bsr=nan | agg=0.01s
round  13 | acc=0.9268 | bsr=nan | agg=0.01s
round  14 | acc=0.9314 | bsr=nan | agg=0.01s
round  15 | acc=0.9345 | bsr=nan | agg=0.01s
round  16 | acc=0.9421 | bsr=nan | agg=0.01s
round  17 | acc=0.9436 | bsr=nan | agg=0.01s
round  18 | acc=0.9497 | bsr=nan | agg=0.01s
round  19 | acc=0.9543 | bsr=nan | agg=0.01s
round  20 | acc=0.9588 | bsr=nan | agg=0.01s
round  21 | acc=0.9619 | bsr=nan | agg=0.01s
round  22 | acc=0.9619 | bsr=nan | agg=0.01s
round  23 | acc=0.9619 | bsr=nan | agg=0.01s
round  24 | acc=0.9634 | bsr=nan | agg=0.01s
round  25 | acc=0.9680 | bsr=nan | agg=0.01s
round  26 | acc=0.9695 | bsr=nan | agg=0.01s
round  27 | acc=0.9710 | bsr=nan | agg=0.01s
round  28 | acc=0.9710 | bsr=nan | agg=0.01s
round  29 | acc=0.9695 | bsr=nan | agg=0.01s
round  30 | acc=0.9710 | bsr=nan | agg=0.01s
round  31 | acc=0.9710 | bsr=nan | agg=0.01s
round  32 | acc=0.9710 | bsr=nan | agg=0.01s
round  33 | acc=0.9741 | bsr=nan | agg=0.01s
round  34 | acc=0.9741 | bsr=nan | agg=0.00s
round  35 | acc=0.9741 | bsr=nan | agg=0.01s
round  36 | acc=0.9741 | bsr=nan | agg=0.01s
round  37 | acc=0.9741 | bsr=nan | agg=0.01s
round  38 | acc=0.9741 | bsr=nan | agg=0.01s
round  39 | acc=0.9741 | bsr=nan | agg=0.01s
round  40 | acc=0.9741 | bsr=nan | agg=0.01s
