device=cuda dataset=fraud(real) clients=20 malicious=4 defense=multi_krum attack=gaussian
round   1 | acc=0.8415 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.8521 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.8476 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.8476 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.8476 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.8476 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.8476 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.8476 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.8476 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.8476 | bsr=nan | agg=0.02s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.8476 | bsr=nan | agg=0.02s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8476 | bsr=nan | agg=0.02s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8491 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8552 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8582 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8628 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8643 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8659 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8674 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8720 | bsr=nan | agg=0.02s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8796 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8857 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8918 | bsr=nan | agg=0.02s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8948 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8963 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8994 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8994 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.9070 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.9085 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.9085 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.9116 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.9131 | bsr=nan | agg=0.02s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.9131 | bsr=nan | agg=0.02s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.9162 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.9192 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.9207 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.9207 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.9223 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.9223 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.9238 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
