device=cuda dataset=fraud(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.8491 | bsr=nan | agg=1.26s | det_auroc=0.875 | tpr@5=0.00
round   2 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.938 | tpr@5=0.75
round   3 | acc=0.8476 | bsr=nan | agg=1.27s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.766 | tpr@5=0.25
round   6 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.891 | tpr@5=0.25
round   7 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.641 | tpr@5=0.00
round   8 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.719 | tpr@5=0.00
round   9 | acc=0.8476 | bsr=nan | agg=1.28s | det_auroc=0.844 | tpr@5=0.00
round  10 | acc=0.8476 | bsr=nan | agg=1.29s | det_auroc=0.906 | tpr@5=0.50
round  11 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.891 | tpr@5=0.25
round  12 | acc=0.8476 | bsr=nan | agg=1.29s | det_auroc=0.828 | tpr@5=0.25
round  13 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=0.844 | tpr@5=0.00
round  14 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.766 | tpr@5=0.00
round  15 | acc=0.8476 | bsr=nan | agg=1.29s | det_auroc=0.781 | tpr@5=0.00
round  16 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.844 | tpr@5=0.00
round  17 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.828 | tpr@5=0.25
round  18 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.859 | tpr@5=0.25
round  19 | acc=0.8476 | bsr=nan | agg=1.27s | det_auroc=0.766 | tpr@5=0.00
round  20 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.672 | tpr@5=0.00
round  21 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.656 | tpr@5=0.00
round  22 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=0.547 | tpr@5=0.00
round  23 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.609 | tpr@5=0.00
round  24 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=0.625 | tpr@5=0.00
round  25 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.734 | tpr@5=0.00
round  26 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=0.891 | tpr@5=0.50
round  27 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.969 | tpr@5=0.75
round  29 | acc=0.8491 | bsr=nan | agg=1.31s | det_auroc=0.906 | tpr@5=0.50
round  30 | acc=0.8491 | bsr=nan | agg=1.31s | det_auroc=0.938 | tpr@5=0.75
round  31 | acc=0.8521 | bsr=nan | agg=1.30s | det_auroc=0.984 | tpr@5=0.75
round  32 | acc=0.8521 | bsr=nan | agg=1.31s | det_auroc=0.953 | tpr@5=0.50
round  33 | acc=0.8567 | bsr=nan | agg=1.31s | det_auroc=0.984 | tpr@5=0.75
round  34 | acc=0.8582 | bsr=nan | agg=1.31s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8582 | bsr=nan | agg=1.31s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8613 | bsr=nan | agg=1.31s | det_auroc=0.953 | tpr@5=0.75
round  37 | acc=0.8643 | bsr=nan | agg=1.30s | det_auroc=0.953 | tpr@5=0.75
round  38 | acc=0.8689 | bsr=nan | agg=1.30s | det_auroc=0.938 | tpr@5=0.75
round  39 | acc=0.8689 | bsr=nan | agg=1.31s | det_auroc=0.953 | tpr@5=0.75
round  40 | acc=0.8689 | bsr=nan | agg=1.31s | det_auroc=0.984 | tpr@5=0.75
