device=cuda dataset=fraud(real) clients=20 malicious=4 defense=multi_krum attack=label_flip
round   1 | acc=0.6585 | bsr=nan | agg=0.03s | det_auroc=0.594 | tpr@5=0.00
round   2 | acc=0.6753 | bsr=nan | agg=0.03s | det_auroc=0.594 | tpr@5=0.00
round   3 | acc=0.6982 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round   4 | acc=0.7104 | bsr=nan | agg=0.04s | det_auroc=0.609 | tpr@5=0.00
round   5 | acc=0.7119 | bsr=nan | agg=0.03s | det_auroc=0.594 | tpr@5=0.00
round   6 | acc=0.7134 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round   7 | acc=0.7302 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round   8 | acc=0.7363 | bsr=nan | agg=0.02s | det_auroc=0.641 | tpr@5=0.00
round   9 | acc=0.7439 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  10 | acc=0.7470 | bsr=nan | agg=0.03s | det_auroc=0.625 | tpr@5=0.00
round  11 | acc=0.7576 | bsr=nan | agg=0.04s | det_auroc=0.641 | tpr@5=0.00
round  12 | acc=0.7622 | bsr=nan | agg=0.03s | det_auroc=0.625 | tpr@5=0.00
round  13 | acc=0.7637 | bsr=nan | agg=0.03s | det_auroc=0.609 | tpr@5=0.00
round  14 | acc=0.7683 | bsr=nan | agg=0.02s | det_auroc=0.625 | tpr@5=0.00
round  15 | acc=0.7790 | bsr=nan | agg=0.03s | det_auroc=0.625 | tpr@5=0.00
round  16 | acc=0.7927 | bsr=nan | agg=0.03s | det_auroc=0.656 | tpr@5=0.00
round  17 | acc=0.7973 | bsr=nan | agg=0.04s | det_auroc=0.656 | tpr@5=0.00
round  18 | acc=0.8079 | bsr=nan | agg=0.03s | det_auroc=0.656 | tpr@5=0.00
round  19 | acc=0.8186 | bsr=nan | agg=0.03s | det_auroc=0.656 | tpr@5=0.00
round  20 | acc=0.8277 | bsr=nan | agg=0.03s | det_auroc=0.688 | tpr@5=0.00
round  21 | acc=0.8354 | bsr=nan | agg=0.04s | det_auroc=0.688 | tpr@5=0.00
round  22 | acc=0.8460 | bsr=nan | agg=0.03s | det_auroc=0.672 | tpr@5=0.00
round  23 | acc=0.8567 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round  24 | acc=0.8643 | bsr=nan | agg=0.03s | det_auroc=0.719 | tpr@5=0.00
round  25 | acc=0.8704 | bsr=nan | agg=0.03s | det_auroc=0.734 | tpr@5=0.00
round  26 | acc=0.8780 | bsr=nan | agg=0.03s | det_auroc=0.719 | tpr@5=0.00
round  27 | acc=0.8826 | bsr=nan | agg=0.03s | det_auroc=0.719 | tpr@5=0.00
round  28 | acc=0.8887 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round  29 | acc=0.8902 | bsr=nan | agg=0.03s | det_auroc=0.703 | tpr@5=0.00
round  30 | acc=0.8933 | bsr=nan | agg=0.02s | det_auroc=0.719 | tpr@5=0.00
round  31 | acc=0.8994 | bsr=nan | agg=0.02s | det_auroc=0.719 | tpr@5=0.00
round  32 | acc=0.9085 | bsr=nan | agg=0.03s | det_auroc=0.703 | tpr@5=0.00
round  33 | acc=0.9146 | bsr=nan | agg=0.03s | det_auroc=0.719 | tpr@5=0.00
round  34 | acc=0.9162 | bsr=nan | agg=0.03s | det_auroc=0.719 | tpr@5=0.00
round  35 | acc=0.9192 | bsr=nan | agg=0.02s | det_auroc=0.719 | tpr@5=0.00
round  36 | acc=0.9223 | bsr=nan | agg=0.03s | det_auroc=0.719 | tpr@5=0.00
round  37 | acc=0.9238 | bsr=nan | agg=0.03s | det_auroc=0.734 | tpr@5=0.00
round  38 | acc=0.9268 | bsr=nan | agg=0.03s | det_auroc=0.719 | tpr@5=0.00
round  39 | acc=0.9329 | bsr=nan | agg=0.03s | det_auroc=0.719 | tpr@5=0.00
round  40 | acc=0.9329 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
