device=cuda dataset=fraud(real) clients=20 malicious=4 defense=multi_krum attack=lie
round   1 | acc=0.7591 | bsr=nan | agg=0.02s | det_auroc=0.875 | tpr@5=0.00
round   2 | acc=0.8171 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round   3 | acc=0.8582 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round   4 | acc=0.8826 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round   5 | acc=0.9009 | bsr=nan | agg=0.02s | det_auroc=0.875 | tpr@5=0.00
round   6 | acc=0.9131 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round   7 | acc=0.9207 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round   8 | acc=0.9207 | bsr=nan | agg=0.02s | det_auroc=0.875 | tpr@5=0.00
round   9 | acc=0.9253 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  10 | acc=0.9284 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  11 | acc=0.9268 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  12 | acc=0.9284 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  13 | acc=0.9284 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  14 | acc=0.9314 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  15 | acc=0.9299 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  16 | acc=0.9284 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  17 | acc=0.9284 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  18 | acc=0.9268 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  19 | acc=0.9253 | bsr=nan | agg=0.02s | det_auroc=0.875 | tpr@5=0.00
round  20 | acc=0.9268 | bsr=nan | agg=0.02s | det_auroc=0.875 | tpr@5=0.00
round  21 | acc=0.9268 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  22 | acc=0.9268 | bsr=nan | agg=0.02s | det_auroc=0.875 | tpr@5=0.00
round  23 | acc=0.9268 | bsr=nan | agg=0.02s | det_auroc=0.875 | tpr@5=0.00
round  24 | acc=0.9284 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  25 | acc=0.9284 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  26 | acc=0.9284 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  27 | acc=0.9284 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  28 | acc=0.9284 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  29 | acc=0.9299 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  30 | acc=0.9299 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  31 | acc=0.9299 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  32 | acc=0.9299 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  33 | acc=0.9299 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  34 | acc=0.9299 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  35 | acc=0.9314 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  36 | acc=0.9314 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  37 | acc=0.9314 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  38 | acc=0.9329 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  39 | acc=0.9329 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  40 | acc=0.9329 | bsr=nan | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
