device=cuda dataset=fraud(real) clients=20 malicious=4 defense=median attack=sign_flip
round   1 | acc=0.6631 | bsr=nan | agg=0.01s
round   2 | acc=0.6784 | bsr=nan | agg=0.01s
round   3 | acc=0.7043 | bsr=nan | agg=0.01s
round   4 | acc=0.7180 | bsr=nan | agg=0.01s
round   5 | acc=0.7348 | bsr=nan | agg=0.00s
round   6 | acc=0.7500 | bsr=nan | agg=0.01s
round   7 | acc=0.7683 | bsr=nan | agg=0.01s
round   8 | acc=0.7759 | bsr=nan | agg=0.01s
round   9 | acc=0.7957 | bsr=nan | agg=0.01s
round  10 | acc=0.8125 | bsr=nan | agg=0.01s
round  11 | acc=0.8308 | bsr=nan | agg=0.01s
round  12 | acc=0.8399 | bsr=nan | agg=0.00s
round  13 | acc=0.8552 | bsr=nan | agg=0.01s
round  14 | acc=0.8628 | bsr=nan | agg=0.01s
round  15 | acc=0.8659 | bsr=nan | agg=0.01s
round  16 | acc=0.8704 | bsr=nan | agg=0.01s
round  17 | acc=0.8704 | bsr=nan | agg=0.01s
round  18 | acc=0.8765 | bsr=nan | agg=0.00s
round  19 | acc=0.8826 | bsr=nan | agg=0.01s
round  20 | acc=0.8872 | bsr=nan | agg=0.01s
round  21 | acc=0.8902 | bsr=nan | agg=0.01s
round  22 | acc=0.8933 | bsr=nan | agg=0.01s
round  23 | acc=0.8948 | bsr=nan | agg=0.01s
round  24 | acc=0.9040 | bsr=nan | agg=0.00s
round  25 | acc=0.9192 | bsr=nan | agg=0.01s
round  26 | acc=0.9223 | bsr=nan | agg=0.01s
round  27 | acc=0.9223 | bsr=nan | agg=0.01s
round  28 | acc=0.9253 | bsr=nan | agg=0.01s
round  29 | acc=0.9268 | bsr=nan | agg=0.00s
round  30 | acc=0.9284 | bsr=nan | agg=0.01s
round  31 | acc=0.9284 | bsr=nan | agg=0.00s
round  32 | acc=0.9284 | bsr=nan | agg=0.01s
round  33 | acc=0.9314 | bsr=nan | agg=0.01s
round  34 | acc=0.9345 | bsr=nan | agg=0.01s
round  35 | acc=0.9375 | bsr=nan | agg=0.01s
round  36 | acc=0.9390 | bsr=nan | agg=0.01s
round  37 | acc=0.9405 | bsr=nan | agg=0.01s
round  38 | acc=0.9436 | bsr=nan | agg=0.01s
round  39 | acc=0.9466 | bsr=nan | agg=0.01s
round  40 | acc=0.9497 | bsr=nan | agg=0.01s
