device=cuda dataset=fraud(real) clients=20 malicious=4 defense=multi_krum attack=sign_flip
round   1 | acc=0.6585 | bsr=nan | agg=0.04s | det_auroc=0.594 | tpr@5=0.00
round   2 | acc=0.6753 | bsr=nan | agg=0.03s | det_auroc=0.594 | tpr@5=0.00
round   3 | acc=0.6982 | bsr=nan | agg=0.04s | det_auroc=0.641 | tpr@5=0.00
round   4 | acc=0.7088 | bsr=nan | agg=0.02s | det_auroc=0.609 | tpr@5=0.00
round   5 | acc=0.7088 | bsr=nan | agg=0.03s | det_auroc=0.594 | tpr@5=0.00
round   6 | acc=0.7088 | bsr=nan | agg=0.02s | det_auroc=0.609 | tpr@5=0.00
round   7 | acc=0.7226 | bsr=nan | agg=0.03s | det_auroc=0.625 | tpr@5=0.00
round   8 | acc=0.7302 | bsr=nan | agg=0.03s | det_auroc=0.625 | tpr@5=0.00
round   9 | acc=0.7393 | bsr=nan | agg=0.02s | det_auroc=0.625 | tpr@5=0.00
round  10 | acc=0.7409 | bsr=nan | agg=0.03s | det_auroc=0.609 | tpr@5=0.00
round  11 | acc=0.7470 | bsr=nan | agg=0.03s | det_auroc=0.625 | tpr@5=0.00
round  12 | acc=0.7546 | bsr=nan | agg=0.03s | det_auroc=0.625 | tpr@5=0.00
round  13 | acc=0.7546 | bsr=nan | agg=0.03s | det_auroc=0.609 | tpr@5=0.00
round  14 | acc=0.7561 | bsr=nan | agg=0.02s | det_auroc=0.641 | tpr@5=0.00
round  15 | acc=0.7637 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  16 | acc=0.7744 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  17 | acc=0.7820 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  18 | acc=0.7896 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  19 | acc=0.7957 | bsr=nan | agg=0.03s | det_auroc=0.656 | tpr@5=0.00
round  20 | acc=0.7988 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  21 | acc=0.8018 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  22 | acc=0.8125 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  23 | acc=0.8201 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  24 | acc=0.8338 | bsr=nan | agg=0.04s | det_auroc=0.641 | tpr@5=0.00
round  25 | acc=0.8476 | bsr=nan | agg=0.03s | det_auroc=0.703 | tpr@5=0.00
round  26 | acc=0.8552 | bsr=nan | agg=0.03s | det_auroc=0.672 | tpr@5=0.00
round  27 | acc=0.8613 | bsr=nan | agg=0.03s | det_auroc=0.672 | tpr@5=0.00
round  28 | acc=0.8643 | bsr=nan | agg=0.03s | det_auroc=0.641 | tpr@5=0.00
round  29 | acc=0.8720 | bsr=nan | agg=0.03s | det_auroc=0.656 | tpr@5=0.00
round  30 | acc=0.8720 | bsr=nan | agg=0.02s | det_auroc=0.641 | tpr@5=0.00
round  31 | acc=0.8841 | bsr=nan | agg=0.02s | det_auroc=0.656 | tpr@5=0.00
round  32 | acc=0.8887 | bsr=nan | agg=0.03s | det_auroc=0.656 | tpr@5=0.00
round  33 | acc=0.8918 | bsr=nan | agg=0.02s | det_auroc=0.672 | tpr@5=0.00
round  34 | acc=0.8948 | bsr=nan | agg=0.02s | det_auroc=0.672 | tpr@5=0.00
round  35 | acc=0.9070 | bsr=nan | agg=0.04s | det_auroc=0.672 | tpr@5=0.00
round  36 | acc=0.9070 | bsr=nan | agg=0.03s | det_auroc=0.672 | tpr@5=0.00
round  37 | acc=0.9116 | bsr=nan | agg=0.03s | det_auroc=0.688 | tpr@5=0.00
round  38 | acc=0.9116 | bsr=nan | agg=0.04s | det_auroc=0.656 | tpr@5=0.00
round  39 | acc=0.9146 | bsr=nan | agg=0.03s | det_auroc=0.672 | tpr@5=0.00
round  40 | acc=0.9162 | bsr=nan | agg=0.03s | det_auroc=0.625 | tpr@5=0.00
