device=cuda dataset=fraud(real) clients=20 malicious=4 defense=trimmed_mean attack=sign_flip
round   1 | acc=0.6692 | bsr=nan | agg=0.01s
round   2 | acc=0.6860 | bsr=nan | agg=0.01s
round   3 | acc=0.7149 | bsr=nan | agg=0.01s
round   4 | acc=0.7378 | bsr=nan | agg=0.01s
round   5 | acc=0.7591 | bsr=nan | agg=0.00s
round   6 | acc=0.7774 | bsr=nan | agg=0.01s
round   7 | acc=0.8079 | bsr=nan | agg=0.01s
round   8 | acc=0.8186 | bsr=nan | agg=0.01s
round   9 | acc=0.8415 | bsr=nan | agg=0.01s
round  10 | acc=0.8460 | bsr=nan | agg=0.01s
round  11 | acc=0.8628 | bsr=nan | agg=0.01s
round  12 | acc=0.8765 | bsr=nan | agg=0.01s
round  13 | acc=0.8887 | bsr=nan | agg=0.01s
round  14 | acc=0.8994 | bsr=nan | agg=0.00s
round  15 | acc=0.9024 | bsr=nan | agg=0.01s
round  16 | acc=0.9116 | bsr=nan | agg=0.01s
round  17 | acc=0.9223 | bsr=nan | agg=0.01s
round  18 | acc=0.9253 | bsr=nan | agg=0.01s
round  19 | acc=0.9268 | bsr=nan | agg=0.01s
round  20 | acc=0.9314 | bsr=nan | agg=0.01s
round  21 | acc=0.9345 | bsr=nan | agg=0.00s
round  22 | acc=0.9375 | bsr=nan | agg=0.01s
round  23 | acc=0.9466 | bsr=nan | agg=0.01s
round  24 | acc=0.9466 | bsr=nan | agg=0.01s
round  25 | acc=0.9512 | bsr=nan | agg=0.01s
round  26 | acc=0.9543 | bsr=nan | agg=0.01s
round  27 | acc=0.9558 | bsr=nan | agg=0.01s
round  28 | acc=0.9573 | bsr=nan | agg=0.01s
round  29 | acc=0.9619 | bsr=nan | agg=0.01s
round  30 | acc=0.9619 | bsr=nan | agg=0.01s
round  31 | acc=0.9619 | bsr=nan | agg=0.01s
round  32 | acc=0.9649 | bsr=nan | agg=0.01s
round  33 | acc=0.9649 | bsr=nan | agg=0.01s
round  34 | acc=0.9665 | bsr=nan | agg=0.01s
round  35 | acc=0.9665 | bsr=nan | agg=0.00s
round  36 | acc=0.9695 | bsr=nan | agg=0.01s
round  37 | acc=0.9710 | bsr=nan | agg=0.01s
round  38 | acc=0.9710 | bsr=nan | agg=0.01s
round  39 | acc=0.9726 | bsr=nan | agg=0.01s
round  40 | acc=0.9726 | bsr=nan | agg=0.00s
