device=cuda dataset=fraud(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.8491 | bsr=nan | agg=1.30s | det_auroc=0.438 | tpr@5=0.00
round   2 | acc=0.8476 | bsr=nan | agg=1.32s | det_auroc=0.391 | tpr@5=0.00
round   3 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.609 | tpr@5=0.00
round   4 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=0.812 | tpr@5=0.50
round   5 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.594 | tpr@5=0.00
round   6 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=0.469 | tpr@5=0.00
round   7 | acc=0.8476 | bsr=nan | agg=1.32s | det_auroc=0.438 | tpr@5=0.00
round   8 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.500 | tpr@5=0.00
round   9 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=0.594 | tpr@5=0.00
round  10 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.609 | tpr@5=0.00
round  11 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.594 | tpr@5=0.00
round  12 | acc=0.8476 | bsr=nan | agg=1.32s | det_auroc=0.594 | tpr@5=0.00
round  13 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.625 | tpr@5=0.00
round  14 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=0.625 | tpr@5=0.00
round  15 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.594 | tpr@5=0.00
round  16 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.594 | tpr@5=0.00
round  17 | acc=0.8476 | bsr=nan | agg=1.32s | det_auroc=0.703 | tpr@5=0.00
round  18 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.688 | tpr@5=0.00
round  19 | acc=0.8476 | bsr=nan | agg=1.31s | det_auroc=0.641 | tpr@5=0.00
round  20 | acc=0.8476 | bsr=nan | agg=1.32s | det_auroc=0.703 | tpr@5=0.25
round  21 | acc=0.8476 | bsr=nan | agg=1.30s | det_auroc=0.594 | tpr@5=0.00
round  22 | acc=0.8491 | bsr=nan | agg=1.32s | det_auroc=0.594 | tpr@5=0.00
round  23 | acc=0.8521 | bsr=nan | agg=1.30s | det_auroc=0.688 | tpr@5=0.00
round  24 | acc=0.8521 | bsr=nan | agg=1.30s | det_auroc=0.609 | tpr@5=0.00
round  25 | acc=0.8582 | bsr=nan | agg=1.31s | det_auroc=0.688 | tpr@5=0.25
round  26 | acc=0.8582 | bsr=nan | agg=1.31s | det_auroc=0.547 | tpr@5=0.00
round  27 | acc=0.8613 | bsr=nan | agg=1.31s | det_auroc=0.609 | tpr@5=0.00
round  28 | acc=0.8689 | bsr=nan | agg=1.31s | det_auroc=0.625 | tpr@5=0.00
round  29 | acc=0.8689 | bsr=nan | agg=1.31s | det_auroc=0.688 | tpr@5=0.25
round  30 | acc=0.8720 | bsr=nan | agg=1.32s | det_auroc=0.578 | tpr@5=0.00
round  31 | acc=0.8720 | bsr=nan | agg=1.30s | det_auroc=0.516 | tpr@5=0.25
round  32 | acc=0.8750 | bsr=nan | agg=1.31s | det_auroc=0.453 | tpr@5=0.00
round  33 | acc=0.8796 | bsr=nan | agg=1.31s | det_auroc=0.734 | tpr@5=0.25
round  34 | acc=0.8826 | bsr=nan | agg=1.30s | det_auroc=0.750 | tpr@5=0.50
round  35 | acc=0.8887 | bsr=nan | agg=1.31s | det_auroc=0.719 | tpr@5=0.25
round  36 | acc=0.8902 | bsr=nan | agg=1.30s | det_auroc=0.781 | tpr@5=0.50
round  37 | acc=0.8918 | bsr=nan | agg=1.31s | det_auroc=0.594 | tpr@5=0.25
round  38 | acc=0.8933 | bsr=nan | agg=1.31s | det_auroc=0.625 | tpr@5=0.25
round  39 | acc=0.8994 | bsr=nan | agg=1.30s | det_auroc=0.812 | tpr@5=0.25
round  40 | acc=0.9009 | bsr=nan | agg=1.31s | det_auroc=0.750 | tpr@5=0.25
