device=cuda dataset=fraud(real) clients=20 malicious=4 defense=multi_krum attack=spurious_feature
round   1 | acc=0.6890 | bsr=nan | agg=0.03s | det_auroc=0.547 | tpr@5=0.00
round   2 | acc=0.7287 | bsr=nan | agg=0.04s | det_auroc=0.547 | tpr@5=0.00
round   3 | acc=0.7805 | bsr=nan | agg=0.03s | det_auroc=0.578 | tpr@5=0.00
round   4 | acc=0.8110 | bsr=nan | agg=0.03s | det_auroc=0.547 | tpr@5=0.00
round   5 | acc=0.8491 | bsr=nan | agg=0.03s | det_auroc=0.547 | tpr@5=0.00
round   6 | acc=0.8674 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round   7 | acc=0.8841 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round   8 | acc=0.8979 | bsr=nan | agg=0.04s | det_auroc=0.562 | tpr@5=0.00
round   9 | acc=0.9101 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round  10 | acc=0.9177 | bsr=nan | agg=0.02s | det_auroc=0.547 | tpr@5=0.00
round  11 | acc=0.9253 | bsr=nan | agg=0.02s | det_auroc=0.578 | tpr@5=0.00
round  12 | acc=0.9345 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round  13 | acc=0.9421 | bsr=nan | agg=0.03s | det_auroc=0.547 | tpr@5=0.00
round  14 | acc=0.9436 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round  15 | acc=0.9451 | bsr=nan | agg=0.02s | det_auroc=0.578 | tpr@5=0.00
round  16 | acc=0.9497 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round  17 | acc=0.9527 | bsr=nan | agg=0.03s | det_auroc=0.547 | tpr@5=0.00
round  18 | acc=0.9604 | bsr=nan | agg=0.03s | det_auroc=0.578 | tpr@5=0.00
round  19 | acc=0.9634 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round  20 | acc=0.9634 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round  21 | acc=0.9665 | bsr=nan | agg=0.03s | det_auroc=0.547 | tpr@5=0.00
round  22 | acc=0.9695 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round  23 | acc=0.9695 | bsr=nan | agg=0.02s | det_auroc=0.547 | tpr@5=0.00
round  24 | acc=0.9710 | bsr=nan | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round  25 | acc=0.9726 | bsr=nan | agg=0.03s | det_auroc=0.578 | tpr@5=0.00
round  26 | acc=0.9710 | bsr=nan | agg=0.04s | det_auroc=0.578 | tpr@5=0.00
round  27 | acc=0.9710 | bsr=nan | agg=0.04s | det_auroc=0.578 | tpr@5=0.00
round  28 | acc=0.9726 | bsr=nan | agg=0.03s | det_auroc=0.578 | tpr@5=0.00
round  29 | acc=0.9726 | bsr=nan | agg=0.02s | det_auroc=0.578 | tpr@5=0.00
round  30 | acc=0.9726 | bsr=nan | agg=0.03s | det_auroc=0.594 | tpr@5=0.00
round  31 | acc=0.9726 | bsr=nan | agg=0.04s | det_auroc=0.594 | tpr@5=0.00
round  32 | acc=0.9726 | bsr=nan | agg=0.04s | det_auroc=0.594 | tpr@5=0.00
round  33 | acc=0.9726 | bsr=nan | agg=0.03s | det_auroc=0.609 | tpr@5=0.00
round  34 | acc=0.9726 | bsr=nan | agg=0.02s | det_auroc=0.594 | tpr@5=0.00
round  35 | acc=0.9726 | bsr=nan | agg=0.03s | det_auroc=0.594 | tpr@5=0.00
round  36 | acc=0.9726 | bsr=nan | agg=0.03s | det_auroc=0.594 | tpr@5=0.00
round  37 | acc=0.9726 | bsr=nan | agg=0.04s | det_auroc=0.609 | tpr@5=0.00
round  38 | acc=0.9726 | bsr=nan | agg=0.03s | det_auroc=0.594 | tpr@5=0.00
round  39 | acc=0.9726 | bsr=nan | agg=0.03s | det_auroc=0.609 | tpr@5=0.00
round  40 | acc=0.9726 | bsr=nan | agg=0.03s | det_auroc=0.578 | tpr@5=0.00
