device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.5141 | bsr=0.350 | agg=0.21s | det_auroc=0.047 | tpr@5=0.00
round   2 | acc=0.5239 | bsr=0.468 | agg=0.18s | det_auroc=0.062 | tpr@5=0.00
round   3 | acc=0.5350 | bsr=0.559 | agg=0.19s | det_auroc=0.125 | tpr@5=0.00
round   4 | acc=0.5481 | bsr=0.641 | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5456 | bsr=0.729 | agg=0.20s | det_auroc=0.047 | tpr@5=0.00
round   6 | acc=0.5481 | bsr=0.763 | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5483 | bsr=0.777 | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.5482 | bsr=0.790 | agg=0.19s | det_auroc=0.062 | tpr@5=0.00
round   9 | acc=0.5510 | bsr=0.786 | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.5514 | bsr=0.792 | agg=0.19s | det_auroc=0.125 | tpr@5=0.00
round  11 | acc=0.5534 | bsr=0.783 | agg=0.18s | det_auroc=0.062 | tpr@5=0.00
round  12 | acc=0.5517 | bsr=0.804 | agg=0.18s | det_auroc=0.109 | tpr@5=0.00
round  13 | acc=0.5576 | bsr=0.774 | agg=0.20s | det_auroc=0.094 | tpr@5=0.00
round  14 | acc=0.5596 | bsr=0.769 | agg=0.19s | det_auroc=0.078 | tpr@5=0.00
round  15 | acc=0.5588 | bsr=0.773 | agg=0.20s | det_auroc=0.094 | tpr@5=0.00
round  16 | acc=0.5636 | bsr=0.758 | agg=0.19s | det_auroc=0.062 | tpr@5=0.00
round  17 | acc=0.5719 | bsr=0.720 | agg=0.19s | det_auroc=0.219 | tpr@5=0.00
round  18 | acc=0.5712 | bsr=0.734 | agg=0.20s | det_auroc=0.078 | tpr@5=0.00
round  19 | acc=0.5720 | bsr=0.732 | agg=0.18s | det_auroc=0.125 | tpr@5=0.00
round  20 | acc=0.5754 | bsr=0.712 | agg=0.18s | det_auroc=0.125 | tpr@5=0.00
round  21 | acc=0.5745 | bsr=0.722 | agg=0.19s | det_auroc=0.141 | tpr@5=0.00
round  22 | acc=0.5739 | bsr=0.733 | agg=0.19s | det_auroc=0.078 | tpr@5=0.00
round  23 | acc=0.5769 | bsr=0.715 | agg=0.19s | det_auroc=0.125 | tpr@5=0.00
round  24 | acc=0.5769 | bsr=0.718 | agg=0.19s | det_auroc=0.094 | tpr@5=0.00
round  25 | acc=0.5756 | bsr=0.725 | agg=0.19s | det_auroc=0.078 | tpr@5=0.00
round  26 | acc=0.5781 | bsr=0.718 | agg=0.19s | det_auroc=0.094 | tpr@5=0.00
round  27 | acc=0.5793 | bsr=0.712 | agg=0.18s | det_auroc=0.078 | tpr@5=0.00
round  28 | acc=0.5767 | bsr=0.726 | agg=0.20s | det_auroc=0.078 | tpr@5=0.00
round  29 | acc=0.5794 | bsr=0.716 | agg=0.19s | det_auroc=0.078 | tpr@5=0.00
round  30 | acc=0.5788 | bsr=0.722 | agg=0.20s | det_auroc=0.047 | tpr@5=0.00
