device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.5144 | bsr=0.414 | agg=0.20s | det_auroc=0.062 | tpr@5=0.00
round   2 | acc=0.5269 | bsr=0.610 | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round   3 | acc=0.5339 | bsr=0.679 | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round   4 | acc=0.5443 | bsr=0.650 | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5483 | bsr=0.673 | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5433 | bsr=0.771 | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5596 | bsr=0.389 | agg=0.18s | det_auroc=0.016 | tpr@5=0.00
round   8 | acc=0.5666 | bsr=0.479 | agg=0.18s | det_auroc=0.109 | tpr@5=0.00
round   9 | acc=0.5716 | bsr=0.528 | agg=0.19s | det_auroc=0.031 | tpr@5=0.00
round  10 | acc=0.5752 | bsr=0.634 | agg=0.17s | det_auroc=0.016 | tpr@5=0.00
round  11 | acc=0.5789 | bsr=0.618 | agg=0.19s | det_auroc=0.031 | tpr@5=0.00
round  12 | acc=0.5775 | bsr=0.656 | agg=0.19s | det_auroc=0.078 | tpr@5=0.00
round  13 | acc=0.5756 | bsr=0.684 | agg=0.19s | det_auroc=0.016 | tpr@5=0.00
round  14 | acc=0.5742 | bsr=0.698 | agg=0.20s | det_auroc=0.141 | tpr@5=0.00
round  15 | acc=0.5726 | bsr=0.709 | agg=0.21s | det_auroc=0.094 | tpr@5=0.00
round  16 | acc=0.5710 | bsr=0.727 | agg=0.18s | det_auroc=0.125 | tpr@5=0.00
round  17 | acc=0.5690 | bsr=0.742 | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.5643 | bsr=0.764 | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.5690 | bsr=0.748 | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.5668 | bsr=0.763 | agg=0.19s | det_auroc=0.031 | tpr@5=0.00
round  21 | acc=0.5664 | bsr=0.766 | agg=0.19s | det_auroc=0.125 | tpr@5=0.00
round  22 | acc=0.5689 | bsr=0.756 | agg=0.19s | det_auroc=0.203 | tpr@5=0.00
round  23 | acc=0.5715 | bsr=0.747 | agg=0.20s | det_auroc=0.094 | tpr@5=0.00
round  24 | acc=0.5728 | bsr=0.740 | agg=0.21s | det_auroc=0.094 | tpr@5=0.00
round  25 | acc=0.5732 | bsr=0.739 | agg=0.20s | det_auroc=0.125 | tpr@5=0.00
round  26 | acc=0.5703 | bsr=0.760 | agg=0.19s | det_auroc=0.031 | tpr@5=0.00
round  27 | acc=0.5694 | bsr=0.765 | agg=0.18s | det_auroc=0.016 | tpr@5=0.00
round  28 | acc=0.5705 | bsr=0.763 | agg=0.20s | det_auroc=0.078 | tpr@5=0.00
round  29 | acc=0.5718 | bsr=0.758 | agg=0.19s | det_auroc=0.125 | tpr@5=0.00
round  30 | acc=0.5738 | bsr=0.752 | agg=0.19s | det_auroc=0.188 | tpr@5=0.00
