device=cuda dataset=imdb(real) clients=20 malicious=4 defense=multi_krum attack=adaptive_ecf
round   1 | acc=0.5000 | bsr=0.000 | agg=2.51s | det_auroc=0.000 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=0.000 | agg=2.50s | det_auroc=0.375 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=0.000 | agg=2.50s | det_auroc=0.375 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=0.000 | agg=2.51s | det_auroc=0.359 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=0.000 | agg=2.47s | det_auroc=0.391 | tpr@5=0.00
round   6 | acc=0.5003 | bsr=0.000 | agg=2.47s | det_auroc=0.391 | tpr@5=0.00
round   7 | acc=0.5012 | bsr=0.001 | agg=2.47s | det_auroc=0.359 | tpr@5=0.00
round   8 | acc=0.5075 | bsr=0.005 | agg=2.51s | det_auroc=0.375 | tpr@5=0.00
round   9 | acc=0.5139 | bsr=0.015 | agg=2.51s | det_auroc=0.391 | tpr@5=0.00
round  10 | acc=0.5218 | bsr=0.025 | agg=2.52s | det_auroc=0.391 | tpr@5=0.00
round  11 | acc=0.5344 | bsr=0.041 | agg=2.51s | det_auroc=0.391 | tpr@5=0.00
round  12 | acc=0.5405 | bsr=0.049 | agg=2.51s | det_auroc=0.406 | tpr@5=0.00
round  13 | acc=0.5739 | bsr=0.108 | agg=2.47s | det_auroc=0.375 | tpr@5=0.00
round  14 | acc=0.5605 | bsr=0.077 | agg=2.47s | det_auroc=0.422 | tpr@5=0.00
round  15 | acc=0.5742 | bsr=0.102 | agg=2.52s | det_auroc=0.406 | tpr@5=0.00
round  16 | acc=0.5956 | bsr=0.160 | agg=2.52s | det_auroc=0.359 | tpr@5=0.00
round  17 | acc=0.5793 | bsr=0.110 | agg=2.48s | det_auroc=0.453 | tpr@5=0.00
round  18 | acc=0.6046 | bsr=0.190 | agg=2.51s | det_auroc=0.391 | tpr@5=0.00
round  19 | acc=0.5900 | bsr=0.133 | agg=2.47s | det_auroc=0.422 | tpr@5=0.00
round  20 | acc=0.6038 | bsr=0.171 | agg=2.52s | det_auroc=0.438 | tpr@5=0.00
round  21 | acc=0.6057 | bsr=0.168 | agg=2.51s | det_auroc=0.469 | tpr@5=0.00
round  22 | acc=0.6060 | bsr=0.161 | agg=2.48s | det_auroc=0.438 | tpr@5=0.00
round  23 | acc=0.6097 | bsr=0.171 | agg=2.52s | det_auroc=0.516 | tpr@5=0.00
round  24 | acc=0.6192 | bsr=0.207 | agg=2.48s | det_auroc=0.484 | tpr@5=0.00
round  25 | acc=0.6102 | bsr=0.166 | agg=2.52s | det_auroc=0.516 | tpr@5=0.00
round  26 | acc=0.6190 | bsr=0.190 | agg=2.48s | det_auroc=0.484 | tpr@5=0.00
round  27 | acc=0.6090 | bsr=0.157 | agg=2.47s | det_auroc=0.453 | tpr@5=0.00
round  28 | acc=0.6215 | bsr=0.190 | agg=2.52s | det_auroc=0.484 | tpr@5=0.00
round  29 | acc=0.6135 | bsr=0.163 | agg=2.47s | det_auroc=0.547 | tpr@5=0.00
round  30 | acc=0.6246 | bsr=0.192 | agg=2.47s | det_auroc=0.484 | tpr@5=0.00
