device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fltrust attack=backdoor
round   1 | acc=0.5000 | bsr=1.000 | agg=0.12s | det_auroc=0.141 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=1.000 | agg=0.09s | det_auroc=0.281 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=1.000 | agg=0.10s | det_auroc=0.875 | tpr@5=0.00
round   4 | acc=0.5001 | bsr=0.999 | agg=0.09s | det_auroc=0.812 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=1.000 | agg=0.09s | det_auroc=0.328 | tpr@5=0.00
round   6 | acc=0.5000 | bsr=1.000 | agg=0.08s | det_auroc=0.844 | tpr@5=0.00
round   7 | acc=0.5006 | bsr=0.998 | agg=0.09s | det_auroc=0.844 | tpr@5=0.00
round   8 | acc=0.5000 | bsr=1.000 | agg=0.08s | det_auroc=0.328 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=1.000 | agg=0.10s | det_auroc=0.328 | tpr@5=0.00
round  10 | acc=0.5000 | bsr=1.000 | agg=0.10s | det_auroc=0.875 | tpr@5=0.00
round  11 | acc=0.5002 | bsr=1.000 | agg=0.08s | det_auroc=0.844 | tpr@5=0.00
round  12 | acc=0.5000 | bsr=1.000 | agg=0.10s | det_auroc=0.328 | tpr@5=0.00
round  13 | acc=0.5000 | bsr=1.000 | agg=0.09s | det_auroc=0.875 | tpr@5=0.00
round  14 | acc=0.5000 | bsr=1.000 | agg=0.08s | det_auroc=0.312 | tpr@5=0.00
round  15 | acc=0.5042 | bsr=0.987 | agg=0.10s | det_auroc=0.812 | tpr@5=0.00
round  16 | acc=0.5000 | bsr=1.000 | agg=0.09s | det_auroc=0.125 | tpr@5=0.00
round  17 | acc=0.5008 | bsr=0.999 | agg=0.09s | det_auroc=0.812 | tpr@5=0.00
round  18 | acc=0.5000 | bsr=1.000 | agg=0.08s | det_auroc=0.359 | tpr@5=0.00
round  19 | acc=0.5007 | bsr=0.999 | agg=0.09s | det_auroc=0.875 | tpr@5=0.00
round  20 | acc=0.5046 | bsr=0.986 | agg=0.09s | det_auroc=0.875 | tpr@5=0.00
round  21 | acc=0.5168 | bsr=0.950 | agg=0.08s | det_auroc=0.875 | tpr@5=0.00
round  22 | acc=0.5011 | bsr=0.998 | agg=0.08s | det_auroc=0.312 | tpr@5=0.00
round  23 | acc=0.5098 | bsr=0.970 | agg=0.09s | det_auroc=0.844 | tpr@5=0.00
round  24 | acc=0.5003 | bsr=0.999 | agg=0.08s | det_auroc=0.375 | tpr@5=0.00
round  25 | acc=0.5139 | bsr=0.960 | agg=0.08s | det_auroc=0.812 | tpr@5=0.00
round  26 | acc=0.5007 | bsr=0.999 | agg=0.08s | det_auroc=0.297 | tpr@5=0.00
round  27 | acc=0.5115 | bsr=0.968 | agg=0.08s | det_auroc=0.844 | tpr@5=0.00
round  28 | acc=0.5010 | bsr=0.998 | agg=0.08s | det_auroc=0.328 | tpr@5=0.00
round  29 | acc=0.5061 | bsr=0.984 | agg=0.08s | det_auroc=0.875 | tpr@5=0.00
round  30 | acc=0.5077 | bsr=0.981 | agg=0.08s | det_auroc=0.844 | tpr@5=0.50
