device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=backdoor
round   1 | acc=0.5000 | bsr=1.000 | agg=0.49s
round   2 | acc=0.5000 | bsr=1.000 | agg=0.48s
round   3 | acc=0.5000 | bsr=1.000 | agg=0.48s
round   4 | acc=0.5000 | bsr=1.000 | agg=0.48s
round   5 | acc=0.5000 | bsr=1.000 | agg=0.49s
round   6 | acc=0.5000 | bsr=1.000 | agg=0.46s
round   7 | acc=0.5001 | bsr=1.000 | agg=0.47s
round   8 | acc=0.5003 | bsr=0.999 | agg=0.46s
round   9 | acc=0.5016 | bsr=0.997 | agg=0.45s
round  10 | acc=0.5050 | bsr=0.989 | agg=0.47s
round  11 | acc=0.5115 | bsr=0.974 | agg=0.45s
round  12 | acc=0.5339 | bsr=0.912 | agg=0.47s
round  13 | acc=0.5250 | bsr=0.941 | agg=0.45s
round  14 | acc=0.5492 | bsr=0.868 | agg=0.44s
round  15 | acc=0.5585 | bsr=0.844 | agg=0.47s
round  16 | acc=0.5405 | bsr=0.902 | agg=0.45s
round  17 | acc=0.5786 | bsr=0.778 | agg=0.45s
round  18 | acc=0.5535 | bsr=0.864 | agg=0.45s
round  19 | acc=0.5684 | bsr=0.821 | agg=0.44s
round  20 | acc=0.5837 | bsr=0.769 | agg=0.43s
round  21 | acc=0.6122 | bsr=0.644 | agg=0.43s
round  22 | acc=0.6038 | bsr=0.686 | agg=0.44s
round  23 | acc=0.5867 | bsr=0.768 | agg=0.44s
round  24 | acc=0.5811 | bsr=0.788 | agg=0.45s
round  25 | acc=0.5998 | bsr=0.722 | agg=0.46s
round  26 | acc=0.5848 | bsr=0.780 | agg=0.45s
round  27 | acc=0.5956 | bsr=0.745 | agg=0.43s
round  28 | acc=0.5835 | bsr=0.789 | agg=0.46s
round  29 | acc=0.6068 | bsr=0.706 | agg=0.42s
round  30 | acc=0.6057 | bsr=0.714 | agg=0.44s
