device=cuda dataset=imdb(real) clients=20 malicious=4 defense=multi_krum attack=backdoor
round   1 | acc=0.5000 | bsr=1.000 | agg=2.52s | det_auroc=0.328 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=1.000 | agg=2.48s | det_auroc=0.297 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=1.000 | agg=2.44s | det_auroc=0.312 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=1.000 | agg=2.46s | det_auroc=0.328 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=1.000 | agg=2.50s | det_auroc=0.359 | tpr@5=0.00
round   6 | acc=0.5000 | bsr=1.000 | agg=2.51s | det_auroc=0.344 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=1.000 | agg=2.49s | det_auroc=0.359 | tpr@5=0.00
round   8 | acc=0.5000 | bsr=1.000 | agg=2.44s | det_auroc=0.328 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=1.000 | agg=2.49s | det_auroc=0.344 | tpr@5=0.00
round  10 | acc=0.5000 | bsr=1.000 | agg=2.50s | det_auroc=0.359 | tpr@5=0.00
round  11 | acc=0.5000 | bsr=1.000 | agg=2.47s | det_auroc=0.344 | tpr@5=0.00
round  12 | acc=0.5004 | bsr=0.999 | agg=2.47s | det_auroc=0.391 | tpr@5=0.00
round  13 | acc=0.5014 | bsr=0.997 | agg=2.49s | det_auroc=0.359 | tpr@5=0.00
round  14 | acc=0.5062 | bsr=0.987 | agg=2.46s | det_auroc=0.391 | tpr@5=0.00
round  15 | acc=0.5098 | bsr=0.980 | agg=2.47s | det_auroc=0.391 | tpr@5=0.00
round  16 | acc=0.5133 | bsr=0.972 | agg=2.47s | det_auroc=0.359 | tpr@5=0.00
round  17 | acc=0.5225 | bsr=0.950 | agg=2.46s | det_auroc=0.359 | tpr@5=0.00
round  18 | acc=0.5248 | bsr=0.946 | agg=2.48s | det_auroc=0.359 | tpr@5=0.00
round  19 | acc=0.5430 | bsr=0.900 | agg=2.50s | det_auroc=0.422 | tpr@5=0.00
round  20 | acc=0.5440 | bsr=0.898 | agg=2.50s | det_auroc=0.406 | tpr@5=0.00
round  21 | acc=0.5512 | bsr=0.879 | agg=2.45s | det_auroc=0.375 | tpr@5=0.00
round  22 | acc=0.5584 | bsr=0.854 | agg=2.51s | det_auroc=0.438 | tpr@5=0.00
round  23 | acc=0.5568 | bsr=0.862 | agg=2.46s | det_auroc=0.359 | tpr@5=0.00
round  24 | acc=0.5554 | bsr=0.866 | agg=2.49s | det_auroc=0.359 | tpr@5=0.00
round  25 | acc=0.5698 | bsr=0.826 | agg=2.49s | det_auroc=0.359 | tpr@5=0.00
round  26 | acc=0.5610 | bsr=0.854 | agg=2.48s | det_auroc=0.359 | tpr@5=0.00
round  27 | acc=0.5822 | bsr=0.787 | agg=2.49s | det_auroc=0.422 | tpr@5=0.00
round  28 | acc=0.5666 | bsr=0.839 | agg=2.50s | det_auroc=0.359 | tpr@5=0.00
round  29 | acc=0.5825 | bsr=0.790 | agg=2.49s | det_auroc=0.359 | tpr@5=0.00
round  30 | acc=0.5782 | bsr=0.806 | agg=2.50s | det_auroc=0.375 | tpr@5=0.00
