device=cuda dataset=imdb(real) clients=20 malicious=4 defense=trimmed_mean attack=backdoor
round   1 | acc=0.5000 | bsr=1.000 | agg=0.54s
round   2 | acc=0.5000 | bsr=1.000 | agg=0.50s
round   3 | acc=0.5000 | bsr=1.000 | agg=0.50s
round   4 | acc=0.5000 | bsr=1.000 | agg=0.54s
round   5 | acc=0.5000 | bsr=1.000 | agg=0.49s
round   6 | acc=0.5001 | bsr=1.000 | agg=0.51s
round   7 | acc=0.5022 | bsr=0.996 | agg=0.50s
round   8 | acc=0.5048 | bsr=0.990 | agg=0.49s
round   9 | acc=0.5098 | bsr=0.977 | agg=0.48s
round  10 | acc=0.5189 | bsr=0.957 | agg=0.49s
round  11 | acc=0.5327 | bsr=0.921 | agg=0.49s
round  12 | acc=0.5568 | bsr=0.842 | agg=0.50s
round  13 | acc=0.5511 | bsr=0.863 | agg=0.47s
round  14 | acc=0.5840 | bsr=0.739 | agg=0.48s
round  15 | acc=0.5914 | bsr=0.707 | agg=0.48s
round  16 | acc=0.5852 | bsr=0.747 | agg=0.48s
round  17 | acc=0.6066 | bsr=0.633 | agg=0.46s
round  18 | acc=0.6026 | bsr=0.672 | agg=0.47s
round  19 | acc=0.6192 | bsr=0.575 | agg=0.46s
round  20 | acc=0.6216 | bsr=0.573 | agg=0.48s
round  21 | acc=0.6256 | bsr=0.538 | agg=0.47s
round  22 | acc=0.6288 | bsr=0.522 | agg=0.46s
round  23 | acc=0.6285 | bsr=0.542 | agg=0.47s
round  24 | acc=0.6256 | bsr=0.579 | agg=0.46s
round  25 | acc=0.6342 | bsr=0.497 | agg=0.47s
round  26 | acc=0.6286 | bsr=0.553 | agg=0.48s
round  27 | acc=0.6397 | bsr=0.452 | agg=0.46s
round  28 | acc=0.6358 | bsr=0.530 | agg=0.46s
round  29 | acc=0.6406 | bsr=0.487 | agg=0.47s
round  30 | acc=0.6420 | bsr=0.460 | agg=0.46s
