device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=gaussian
round   1 | acc=0.5100 | bsr=nan | agg=0.23s | det_auroc=0.000 | tpr@5=0.00
round   2 | acc=0.5197 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   3 | acc=0.5276 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round   4 | acc=0.5345 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5384 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5458 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5476 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.5547 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round   9 | acc=0.5622 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.5612 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.5632 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.5666 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.5742 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.5789 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.5845 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.5878 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.5905 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.5913 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.5930 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.5930 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.5968 | bsr=nan | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.5991 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.6016 | bsr=nan | agg=0.22s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.6023 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.6034 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.6044 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.6052 | bsr=nan | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.6060 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.6082 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.6106 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
