device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=gaussian
round   1 | acc=0.5095 | bsr=nan | agg=0.23s | det_auroc=0.000 | tpr@5=0.00
round   2 | acc=0.5133 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   3 | acc=0.5150 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round   4 | acc=0.5158 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5180 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5254 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5263 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.5260 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   9 | acc=0.5288 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.5396 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.5421 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.5565 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.5578 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.5533 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.5573 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.5690 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.5771 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.5753 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.5807 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.5879 | bsr=nan | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.5495 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.5648 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.5716 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.5798 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.5906 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.5947 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.5996 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.6053 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.6089 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.6101 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
