device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fltrust attack=gaussian
round   1 | acc=0.5001 | bsr=nan | agg=0.12s | det_auroc=0.438 | tpr@5=0.00
round   2 | acc=0.5002 | bsr=nan | agg=0.09s | det_auroc=0.875 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.562 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.617 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.727 | tpr@5=0.00
round   6 | acc=0.5002 | bsr=nan | agg=0.08s | det_auroc=0.727 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.438 | tpr@5=0.00
round   8 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.844 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.562 | tpr@5=0.00
round  10 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.766 | tpr@5=0.00
round  11 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.617 | tpr@5=0.00
round  12 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.844 | tpr@5=0.00
round  13 | acc=0.5006 | bsr=nan | agg=0.08s | det_auroc=0.875 | tpr@5=0.00
round  14 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.578 | tpr@5=0.00
round  15 | acc=0.5018 | bsr=nan | agg=0.08s | det_auroc=0.844 | tpr@5=0.00
round  16 | acc=0.5009 | bsr=nan | agg=0.09s | det_auroc=0.727 | tpr@5=0.00
round  17 | acc=0.5004 | bsr=nan | agg=0.08s | det_auroc=0.617 | tpr@5=0.00
round  18 | acc=0.5017 | bsr=nan | agg=0.08s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.625 | tpr@5=0.00
round  20 | acc=0.5025 | bsr=nan | agg=0.09s | det_auroc=0.750 | tpr@5=0.00
round  21 | acc=0.5008 | bsr=nan | agg=0.08s | det_auroc=0.562 | tpr@5=0.00
round  22 | acc=0.5041 | bsr=nan | agg=0.08s | det_auroc=0.750 | tpr@5=0.00
round  23 | acc=0.5097 | bsr=nan | agg=0.09s | det_auroc=0.781 | tpr@5=0.00
round  24 | acc=0.5212 | bsr=nan | agg=0.09s | det_auroc=0.844 | tpr@5=0.00
round  25 | acc=0.5035 | bsr=nan | agg=0.08s | det_auroc=0.562 | tpr@5=0.00
round  26 | acc=0.5283 | bsr=nan | agg=0.08s | det_auroc=0.805 | tpr@5=0.00
round  27 | acc=0.5077 | bsr=nan | agg=0.08s | det_auroc=0.672 | tpr@5=0.00
round  28 | acc=0.5023 | bsr=nan | agg=0.08s | det_auroc=0.562 | tpr@5=0.00
round  29 | acc=0.5300 | bsr=nan | agg=0.08s | det_auroc=0.812 | tpr@5=0.00
round  30 | acc=0.5258 | bsr=nan | agg=0.08s | det_auroc=0.766 | tpr@5=0.00
