device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=gaussian
round   1 | acc=0.5198 | bsr=nan | agg=0.52s
round   2 | acc=0.5095 | bsr=nan | agg=0.51s
round   3 | acc=0.5139 | bsr=nan | agg=0.52s
round   4 | acc=0.5162 | bsr=nan | agg=0.52s
round   5 | acc=0.5732 | bsr=nan | agg=0.50s
round   6 | acc=0.6047 | bsr=nan | agg=0.50s
round   7 | acc=0.5167 | bsr=nan | agg=0.49s
round   8 | acc=0.5306 | bsr=nan | agg=0.52s
round   9 | acc=0.5559 | bsr=nan | agg=0.51s
round  10 | acc=0.6126 | bsr=nan | agg=0.52s
round  11 | acc=0.6012 | bsr=nan | agg=0.51s
round  12 | acc=0.5959 | bsr=nan | agg=0.51s
round  13 | acc=0.5602 | bsr=nan | agg=0.52s
round  14 | acc=0.6072 | bsr=nan | agg=0.50s
round  15 | acc=0.5806 | bsr=nan | agg=0.50s
round  16 | acc=0.6090 | bsr=nan | agg=0.53s
round  17 | acc=0.5885 | bsr=nan | agg=0.50s
round  18 | acc=0.6143 | bsr=nan | agg=0.50s
round  19 | acc=0.5910 | bsr=nan | agg=0.50s
round  20 | acc=0.6054 | bsr=nan | agg=0.50s
round  21 | acc=0.6189 | bsr=nan | agg=0.51s
round  22 | acc=0.6367 | bsr=nan | agg=0.49s
round  23 | acc=0.5916 | bsr=nan | agg=0.52s
round  24 | acc=0.6225 | bsr=nan | agg=0.52s
round  25 | acc=0.5913 | bsr=nan | agg=0.52s
round  26 | acc=0.6360 | bsr=nan | agg=0.51s
round  27 | acc=0.6115 | bsr=nan | agg=0.51s
round  28 | acc=0.6234 | bsr=nan | agg=0.51s
round  29 | acc=0.6152 | bsr=nan | agg=0.52s
round  30 | acc=0.6215 | bsr=nan | agg=0.49s
