device=cuda dataset=imdb(real) clients=20 malicious=4 defense=trimmed_mean attack=gaussian
round   1 | acc=0.5000 | bsr=nan | agg=0.56s
round   2 | acc=0.5001 | bsr=nan | agg=0.54s
round   3 | acc=0.5488 | bsr=nan | agg=0.54s
round   4 | acc=0.5903 | bsr=nan | agg=0.54s
round   5 | acc=0.5849 | bsr=nan | agg=0.55s
round   6 | acc=0.6036 | bsr=nan | agg=0.54s
round   7 | acc=0.6046 | bsr=nan | agg=0.54s
round   8 | acc=0.5922 | bsr=nan | agg=0.54s
round   9 | acc=0.6052 | bsr=nan | agg=0.53s
round  10 | acc=0.5858 | bsr=nan | agg=0.55s
round  11 | acc=0.5910 | bsr=nan | agg=0.54s
round  12 | acc=0.6145 | bsr=nan | agg=0.54s
round  13 | acc=0.6150 | bsr=nan | agg=0.55s
round  14 | acc=0.6041 | bsr=nan | agg=0.55s
round  15 | acc=0.6043 | bsr=nan | agg=0.54s
round  16 | acc=0.6198 | bsr=nan | agg=0.55s
round  17 | acc=0.6115 | bsr=nan | agg=0.54s
round  18 | acc=0.6294 | bsr=nan | agg=0.54s
round  19 | acc=0.6012 | bsr=nan | agg=0.54s
round  20 | acc=0.6211 | bsr=nan | agg=0.54s
round  21 | acc=0.6346 | bsr=nan | agg=0.55s
round  22 | acc=0.6006 | bsr=nan | agg=0.54s
round  23 | acc=0.6361 | bsr=nan | agg=0.55s
round  24 | acc=0.6343 | bsr=nan | agg=0.54s
round  25 | acc=0.6382 | bsr=nan | agg=0.54s
round  26 | acc=0.6351 | bsr=nan | agg=0.54s
round  27 | acc=0.6476 | bsr=nan | agg=0.54s
round  28 | acc=0.6078 | bsr=nan | agg=0.55s
round  29 | acc=0.6436 | bsr=nan | agg=0.54s
round  30 | acc=0.6402 | bsr=nan | agg=0.54s
