device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.5078 | bsr=nan | agg=0.25s | det_auroc=0.391 | tpr@5=0.00
round   2 | acc=0.5047 | bsr=nan | agg=0.22s | det_auroc=0.406 | tpr@5=0.00
round   3 | acc=0.5014 | bsr=nan | agg=0.21s | det_auroc=0.422 | tpr@5=0.00
round   4 | acc=0.5001 | bsr=nan | agg=0.22s | det_auroc=0.422 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=nan | agg=0.24s | det_auroc=0.422 | tpr@5=0.00
round   6 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.406 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=nan | agg=0.23s | det_auroc=0.375 | tpr@5=0.00
round   8 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.344 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.250 | tpr@5=0.00
round  10 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.344 | tpr@5=0.00
round  11 | acc=0.5001 | bsr=nan | agg=0.21s | det_auroc=0.297 | tpr@5=0.00
round  12 | acc=0.5001 | bsr=nan | agg=0.21s | det_auroc=0.281 | tpr@5=0.00
round  13 | acc=0.5004 | bsr=nan | agg=0.20s | det_auroc=0.250 | tpr@5=0.00
round  14 | acc=0.5018 | bsr=nan | agg=0.21s | det_auroc=0.234 | tpr@5=0.00
round  15 | acc=0.5041 | bsr=nan | agg=0.19s | det_auroc=0.250 | tpr@5=0.00
round  16 | acc=0.5083 | bsr=nan | agg=0.21s | det_auroc=0.234 | tpr@5=0.00
round  17 | acc=0.5126 | bsr=nan | agg=0.22s | det_auroc=0.234 | tpr@5=0.00
round  18 | acc=0.5165 | bsr=nan | agg=0.20s | det_auroc=0.219 | tpr@5=0.00
round  19 | acc=0.5231 | bsr=nan | agg=0.22s | det_auroc=0.219 | tpr@5=0.00
round  20 | acc=0.5242 | bsr=nan | agg=0.21s | det_auroc=0.297 | tpr@5=0.00
round  21 | acc=0.5364 | bsr=nan | agg=0.20s | det_auroc=0.281 | tpr@5=0.00
round  22 | acc=0.5438 | bsr=nan | agg=0.20s | det_auroc=0.266 | tpr@5=0.00
round  23 | acc=0.5538 | bsr=nan | agg=0.20s | det_auroc=0.234 | tpr@5=0.00
round  24 | acc=0.5598 | bsr=nan | agg=0.21s | det_auroc=0.266 | tpr@5=0.00
round  25 | acc=0.5682 | bsr=nan | agg=0.21s | det_auroc=0.281 | tpr@5=0.00
round  26 | acc=0.5722 | bsr=nan | agg=0.21s | det_auroc=0.219 | tpr@5=0.00
round  27 | acc=0.5722 | bsr=nan | agg=0.19s | det_auroc=0.250 | tpr@5=0.00
round  28 | acc=0.5766 | bsr=nan | agg=0.20s | det_auroc=0.203 | tpr@5=0.00
round  29 | acc=0.5898 | bsr=nan | agg=0.20s | det_auroc=0.266 | tpr@5=0.00
round  30 | acc=0.5941 | bsr=nan | agg=0.22s | det_auroc=0.156 | tpr@5=0.00
