device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.5005 | bsr=nan | agg=0.23s | det_auroc=0.422 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=nan | agg=0.22s | det_auroc=0.438 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.359 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.266 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.219 | tpr@5=0.00
round   6 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.266 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.266 | tpr@5=0.00
round   8 | acc=0.5000 | bsr=nan | agg=0.19s | det_auroc=0.297 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.297 | tpr@5=0.00
round  10 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.281 | tpr@5=0.00
round  11 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.328 | tpr@5=0.00
round  12 | acc=0.5000 | bsr=nan | agg=0.22s | det_auroc=0.281 | tpr@5=0.00
round  13 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.266 | tpr@5=0.00
round  14 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.312 | tpr@5=0.00
round  15 | acc=0.5003 | bsr=nan | agg=0.20s | det_auroc=0.328 | tpr@5=0.00
round  16 | acc=0.5024 | bsr=nan | agg=0.19s | det_auroc=0.297 | tpr@5=0.00
round  17 | acc=0.5036 | bsr=nan | agg=0.21s | det_auroc=0.312 | tpr@5=0.00
round  18 | acc=0.5046 | bsr=nan | agg=0.19s | det_auroc=0.359 | tpr@5=0.00
round  19 | acc=0.5108 | bsr=nan | agg=0.18s | det_auroc=0.328 | tpr@5=0.00
round  20 | acc=0.5200 | bsr=nan | agg=0.19s | det_auroc=0.328 | tpr@5=0.00
round  21 | acc=0.5064 | bsr=nan | agg=0.19s | det_auroc=0.328 | tpr@5=0.00
round  22 | acc=0.5175 | bsr=nan | agg=0.19s | det_auroc=0.375 | tpr@5=0.00
round  23 | acc=0.5214 | bsr=nan | agg=0.19s | det_auroc=0.359 | tpr@5=0.00
round  24 | acc=0.5360 | bsr=nan | agg=0.18s | det_auroc=0.344 | tpr@5=0.00
round  25 | acc=0.5569 | bsr=nan | agg=0.20s | det_auroc=0.375 | tpr@5=0.00
round  26 | acc=0.5538 | bsr=nan | agg=0.18s | det_auroc=0.312 | tpr@5=0.00
round  27 | acc=0.5588 | bsr=nan | agg=0.20s | det_auroc=0.328 | tpr@5=0.00
round  28 | acc=0.5821 | bsr=nan | agg=0.20s | det_auroc=0.344 | tpr@5=0.00
round  29 | acc=0.5524 | bsr=nan | agg=0.19s | det_auroc=0.297 | tpr@5=0.00
round  30 | acc=0.5703 | bsr=nan | agg=0.19s | det_auroc=0.359 | tpr@5=0.00
