device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fedavg attack=label_flip
round   1 | acc=0.5000 | bsr=nan | agg=0.03s
round   2 | acc=0.5000 | bsr=nan | agg=0.03s
round   3 | acc=0.5000 | bsr=nan | agg=0.03s
round   4 | acc=0.5000 | bsr=nan | agg=0.03s
round   5 | acc=0.5001 | bsr=nan | agg=0.03s
round   6 | acc=0.5008 | bsr=nan | agg=0.02s
round   7 | acc=0.5104 | bsr=nan | agg=0.03s
round   8 | acc=0.5084 | bsr=nan | agg=0.03s
round   9 | acc=0.5208 | bsr=nan | agg=0.02s
round  10 | acc=0.5242 | bsr=nan | agg=0.03s
round  11 | acc=0.5438 | bsr=nan | agg=0.03s
round  12 | acc=0.5459 | bsr=nan | agg=0.03s
round  13 | acc=0.5575 | bsr=nan | agg=0.03s
round  14 | acc=0.5558 | bsr=nan | agg=0.03s
round  15 | acc=0.5684 | bsr=nan | agg=0.03s
round  16 | acc=0.5636 | bsr=nan | agg=0.03s
round  17 | acc=0.5825 | bsr=nan | agg=0.03s
round  18 | acc=0.5855 | bsr=nan | agg=0.03s
round  19 | acc=0.5674 | bsr=nan | agg=0.03s
round  20 | acc=0.5970 | bsr=nan | agg=0.03s
round  21 | acc=0.5896 | bsr=nan | agg=0.03s
round  22 | acc=0.5906 | bsr=nan | agg=0.03s
round  23 | acc=0.5894 | bsr=nan | agg=0.03s
round  24 | acc=0.6047 | bsr=nan | agg=0.02s
round  25 | acc=0.5721 | bsr=nan | agg=0.03s
round  26 | acc=0.6334 | bsr=nan | agg=0.03s
round  27 | acc=0.5739 | bsr=nan | agg=0.02s
round  28 | acc=0.6278 | bsr=nan | agg=0.02s
round  29 | acc=0.5769 | bsr=nan | agg=0.03s
round  30 | acc=0.6226 | bsr=nan | agg=0.03s
