device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=label_flip
round   1 | acc=0.5000 | bsr=nan | agg=0.48s
round   2 | acc=0.5000 | bsr=nan | agg=0.46s
round   3 | acc=0.5000 | bsr=nan | agg=0.47s
round   4 | acc=0.5000 | bsr=nan | agg=0.50s
round   5 | acc=0.5000 | bsr=nan | agg=0.49s
round   6 | acc=0.5000 | bsr=nan | agg=0.47s
round   7 | acc=0.5000 | bsr=nan | agg=0.48s
round   8 | acc=0.5000 | bsr=nan | agg=0.49s
round   9 | acc=0.5000 | bsr=nan | agg=0.47s
round  10 | acc=0.5000 | bsr=nan | agg=0.47s
round  11 | acc=0.5000 | bsr=nan | agg=0.47s
round  12 | acc=0.5000 | bsr=nan | agg=0.50s
round  13 | acc=0.5000 | bsr=nan | agg=0.46s
round  14 | acc=0.5000 | bsr=nan | agg=0.49s
round  15 | acc=0.5000 | bsr=nan | agg=0.48s
round  16 | acc=0.5000 | bsr=nan | agg=0.48s
round  17 | acc=0.5000 | bsr=nan | agg=0.48s
round  18 | acc=0.5000 | bsr=nan | agg=0.47s
round  19 | acc=0.5000 | bsr=nan | agg=0.49s
round  20 | acc=0.5000 | bsr=nan | agg=0.47s
round  21 | acc=0.5004 | bsr=nan | agg=0.47s
round  22 | acc=0.5013 | bsr=nan | agg=0.45s
round  23 | acc=0.5001 | bsr=nan | agg=0.47s
round  24 | acc=0.5049 | bsr=nan | agg=0.47s
round  25 | acc=0.5040 | bsr=nan | agg=0.47s
round  26 | acc=0.5072 | bsr=nan | agg=0.48s
round  27 | acc=0.5102 | bsr=nan | agg=0.47s
round  28 | acc=0.5156 | bsr=nan | agg=0.46s
round  29 | acc=0.5111 | bsr=nan | agg=0.46s
round  30 | acc=0.5253 | bsr=nan | agg=0.47s
