device=cuda dataset=imdb(real) clients=20 malicious=4 defense=multi_krum attack=lie
round   1 | acc=0.5000 | bsr=nan | agg=2.45s | det_auroc=0.688 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=nan | agg=2.44s | det_auroc=0.688 | tpr@5=0.00
round   3 | acc=0.5001 | bsr=nan | agg=2.49s | det_auroc=0.688 | tpr@5=0.00
round   4 | acc=0.5001 | bsr=nan | agg=2.45s | det_auroc=0.688 | tpr@5=0.00
round   5 | acc=0.5002 | bsr=nan | agg=2.49s | det_auroc=0.688 | tpr@5=0.00
round   6 | acc=0.5097 | bsr=nan | agg=2.50s | det_auroc=0.688 | tpr@5=0.00
round   7 | acc=0.5338 | bsr=nan | agg=2.49s | det_auroc=0.688 | tpr@5=0.00
round   8 | acc=0.5804 | bsr=nan | agg=2.45s | det_auroc=0.688 | tpr@5=0.00
round   9 | acc=0.5891 | bsr=nan | agg=2.45s | det_auroc=0.688 | tpr@5=0.00
round  10 | acc=0.5956 | bsr=nan | agg=2.50s | det_auroc=0.688 | tpr@5=0.00
round  11 | acc=0.5967 | bsr=nan | agg=2.50s | det_auroc=0.688 | tpr@5=0.00
round  12 | acc=0.5947 | bsr=nan | agg=2.45s | det_auroc=0.688 | tpr@5=0.00
round  13 | acc=0.5942 | bsr=nan | agg=2.50s | det_auroc=0.688 | tpr@5=0.00
round  14 | acc=0.5945 | bsr=nan | agg=2.50s | det_auroc=0.688 | tpr@5=0.00
round  15 | acc=0.5960 | bsr=nan | agg=2.49s | det_auroc=0.688 | tpr@5=0.00
round  16 | acc=0.5976 | bsr=nan | agg=2.45s | det_auroc=0.750 | tpr@5=0.00
round  17 | acc=0.5979 | bsr=nan | agg=2.49s | det_auroc=0.750 | tpr@5=0.00
round  18 | acc=0.5984 | bsr=nan | agg=2.50s | det_auroc=0.750 | tpr@5=0.00
round  19 | acc=0.5992 | bsr=nan | agg=2.49s | det_auroc=0.750 | tpr@5=0.00
round  20 | acc=0.6004 | bsr=nan | agg=2.46s | det_auroc=0.750 | tpr@5=0.00
round  21 | acc=0.6011 | bsr=nan | agg=2.49s | det_auroc=0.750 | tpr@5=0.00
round  22 | acc=0.6031 | bsr=nan | agg=2.45s | det_auroc=0.750 | tpr@5=0.00
round  23 | acc=0.6036 | bsr=nan | agg=2.45s | det_auroc=0.750 | tpr@5=0.00
round  24 | acc=0.6070 | bsr=nan | agg=2.50s | det_auroc=0.750 | tpr@5=0.00
round  25 | acc=0.6012 | bsr=nan | agg=2.44s | det_auroc=0.750 | tpr@5=0.00
round  26 | acc=0.6080 | bsr=nan | agg=2.49s | det_auroc=0.750 | tpr@5=0.00
round  27 | acc=0.6074 | bsr=nan | agg=2.45s | det_auroc=0.750 | tpr@5=0.00
round  28 | acc=0.6044 | bsr=nan | agg=2.45s | det_auroc=0.750 | tpr@5=0.00
round  29 | acc=0.6058 | bsr=nan | agg=2.53s | det_auroc=0.750 | tpr@5=0.00
round  30 | acc=0.6036 | bsr=nan | agg=2.46s | det_auroc=0.750 | tpr@5=0.00
