device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=min_max
round   1 | acc=0.5000 | bsr=nan | agg=0.53s
round   2 | acc=0.5000 | bsr=nan | agg=0.48s
round   3 | acc=0.5000 | bsr=nan | agg=0.50s
round   4 | acc=0.5000 | bsr=nan | agg=0.50s
round   5 | acc=0.5000 | bsr=nan | agg=0.49s
round   6 | acc=0.5000 | bsr=nan | agg=0.48s
round   7 | acc=0.5000 | bsr=nan | agg=0.47s
round   8 | acc=0.5000 | bsr=nan | agg=0.48s
round   9 | acc=0.5014 | bsr=nan | agg=0.48s
round  10 | acc=0.5084 | bsr=nan | agg=0.50s
round  11 | acc=0.5134 | bsr=nan | agg=0.48s
round  12 | acc=0.5148 | bsr=nan | agg=0.48s
round  13 | acc=0.5248 | bsr=nan | agg=0.48s
round  14 | acc=0.5481 | bsr=nan | agg=0.47s
round  15 | acc=0.5474 | bsr=nan | agg=0.47s
round  16 | acc=0.5587 | bsr=nan | agg=0.47s
round  17 | acc=0.5826 | bsr=nan | agg=0.48s
round  18 | acc=0.5314 | bsr=nan | agg=0.47s
round  19 | acc=0.5612 | bsr=nan | agg=0.47s
round  20 | acc=0.5811 | bsr=nan | agg=0.46s
round  21 | acc=0.5483 | bsr=nan | agg=0.46s
round  22 | acc=0.5558 | bsr=nan | agg=0.45s
round  23 | acc=0.5615 | bsr=nan | agg=0.47s
round  24 | acc=0.5893 | bsr=nan | agg=0.44s
round  25 | acc=0.6080 | bsr=nan | agg=0.46s
round  26 | acc=0.5732 | bsr=nan | agg=0.45s
round  27 | acc=0.5785 | bsr=nan | agg=0.45s
round  28 | acc=0.5875 | bsr=nan | agg=0.44s
round  29 | acc=0.5779 | bsr=nan | agg=0.45s
round  30 | acc=0.6076 | bsr=nan | agg=0.45s
