device=cuda dataset=imdb(real) clients=20 malicious=4 defense=multi_krum attack=min_max
round   1 | acc=0.5000 | bsr=nan | agg=2.51s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.5002 | bsr=nan | agg=2.50s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.5020 | bsr=nan | agg=2.45s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.5132 | bsr=nan | agg=2.45s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.5239 | bsr=nan | agg=2.50s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.5316 | bsr=nan | agg=2.45s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5693 | bsr=nan | agg=2.45s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.5592 | bsr=nan | agg=2.46s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.5810 | bsr=nan | agg=2.46s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.5829 | bsr=nan | agg=2.46s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.5902 | bsr=nan | agg=2.45s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6004 | bsr=nan | agg=2.47s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.6007 | bsr=nan | agg=2.50s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.6056 | bsr=nan | agg=2.47s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.6081 | bsr=nan | agg=2.51s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.6111 | bsr=nan | agg=2.50s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.6166 | bsr=nan | agg=2.50s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.6219 | bsr=nan | agg=2.50s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.6090 | bsr=nan | agg=2.46s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.6275 | bsr=nan | agg=2.51s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.6262 | bsr=nan | agg=2.50s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.6284 | bsr=nan | agg=2.46s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.6241 | bsr=nan | agg=2.51s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.6380 | bsr=nan | agg=2.46s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.6126 | bsr=nan | agg=2.47s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.6489 | bsr=nan | agg=2.51s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.6192 | bsr=nan | agg=2.51s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.6425 | bsr=nan | agg=2.49s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.6302 | bsr=nan | agg=2.51s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.6357 | bsr=nan | agg=2.49s | det_auroc=1.000 | tpr@5=1.00
