device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fltrust attack=spurious_feature
round   1 | acc=0.5000 | bsr=nan | agg=0.12s | det_auroc=0.094 | tpr@5=0.00
round   2 | acc=0.5002 | bsr=nan | agg=0.08s | det_auroc=0.805 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.250 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.297 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.359 | tpr@5=0.00
round   6 | acc=0.5001 | bsr=nan | agg=0.09s | det_auroc=0.789 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.266 | tpr@5=0.00
round   8 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.703 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.250 | tpr@5=0.00
round  10 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.664 | tpr@5=0.00
round  11 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.312 | tpr@5=0.00
round  12 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.656 | tpr@5=0.00
round  13 | acc=0.5004 | bsr=nan | agg=0.09s | det_auroc=0.656 | tpr@5=0.00
round  14 | acc=0.5000 | bsr=nan | agg=0.08s | det_auroc=0.188 | tpr@5=0.00
round  15 | acc=0.5014 | bsr=nan | agg=0.08s | det_auroc=0.773 | tpr@5=0.00
round  16 | acc=0.5010 | bsr=nan | agg=0.08s | det_auroc=0.375 | tpr@5=0.00
round  17 | acc=0.5002 | bsr=nan | agg=0.09s | det_auroc=0.328 | tpr@5=0.00
round  18 | acc=0.5020 | bsr=nan | agg=0.10s | det_auroc=0.641 | tpr@5=0.00
round  19 | acc=0.5000 | bsr=nan | agg=0.09s | det_auroc=0.250 | tpr@5=0.00
round  20 | acc=0.5022 | bsr=nan | agg=0.08s | det_auroc=0.680 | tpr@5=0.00
round  21 | acc=0.5007 | bsr=nan | agg=0.08s | det_auroc=0.266 | tpr@5=0.00
round  22 | acc=0.5039 | bsr=nan | agg=0.10s | det_auroc=0.688 | tpr@5=0.00
round  23 | acc=0.5091 | bsr=nan | agg=0.08s | det_auroc=0.641 | tpr@5=0.00
round  24 | acc=0.5176 | bsr=nan | agg=0.09s | det_auroc=0.688 | tpr@5=0.00
round  25 | acc=0.5026 | bsr=nan | agg=0.08s | det_auroc=0.172 | tpr@5=0.00
round  26 | acc=0.5240 | bsr=nan | agg=0.09s | det_auroc=0.789 | tpr@5=0.00
round  27 | acc=0.5068 | bsr=nan | agg=0.08s | det_auroc=0.234 | tpr@5=0.00
round  28 | acc=0.5017 | bsr=nan | agg=0.09s | det_auroc=0.250 | tpr@5=0.00
round  29 | acc=0.5249 | bsr=nan | agg=0.09s | det_auroc=0.750 | tpr@5=0.00
round  30 | acc=0.5244 | bsr=nan | agg=0.09s | det_auroc=0.375 | tpr@5=0.00
