device=cuda dataset=imdb(real) clients=20 malicious=4 defense=trimmed_mean attack=spurious_feature
round   1 | acc=0.5002 | bsr=nan | agg=0.52s
round   2 | acc=0.5000 | bsr=nan | agg=0.51s
round   3 | acc=0.5000 | bsr=nan | agg=0.51s
round   4 | acc=0.5003 | bsr=nan | agg=0.51s
round   5 | acc=0.5030 | bsr=nan | agg=0.51s
round   6 | acc=0.5059 | bsr=nan | agg=0.50s
round   7 | acc=0.5098 | bsr=nan | agg=0.49s
round   8 | acc=0.5258 | bsr=nan | agg=0.49s
round   9 | acc=0.5488 | bsr=nan | agg=0.48s
round  10 | acc=0.5691 | bsr=nan | agg=0.49s
round  11 | acc=0.5816 | bsr=nan | agg=0.49s
round  12 | acc=0.5822 | bsr=nan | agg=0.50s
round  13 | acc=0.5951 | bsr=nan | agg=0.49s
round  14 | acc=0.6066 | bsr=nan | agg=0.49s
round  15 | acc=0.6120 | bsr=nan | agg=0.47s
round  16 | acc=0.6162 | bsr=nan | agg=0.48s
round  17 | acc=0.6234 | bsr=nan | agg=0.48s
round  18 | acc=0.6188 | bsr=nan | agg=0.48s
round  19 | acc=0.6283 | bsr=nan | agg=0.47s
round  20 | acc=0.6301 | bsr=nan | agg=0.47s
round  21 | acc=0.6278 | bsr=nan | agg=0.47s
round  22 | acc=0.6315 | bsr=nan | agg=0.47s
round  23 | acc=0.6359 | bsr=nan | agg=0.47s
round  24 | acc=0.6343 | bsr=nan | agg=0.46s
round  25 | acc=0.6407 | bsr=nan | agg=0.45s
round  26 | acc=0.6380 | bsr=nan | agg=0.47s
round  27 | acc=0.6425 | bsr=nan | agg=0.46s
round  28 | acc=0.6453 | bsr=nan | agg=0.45s
round  29 | acc=0.6464 | bsr=nan | agg=0.46s
round  30 | acc=0.6472 | bsr=nan | agg=0.46s
