dataset,attack,defense,rounds,final_acc,final_bsr,peak_bsr,final_auroc,final_tpr,mean_agg_s,total_agg_s
fmnist,adaptive_ecf,ecf_base,60,0.6971,0.1640,0.5090,0.9380,0.0000,0.1367,8.2000
fmnist,adaptive_ecf,ecf_bdoor,60,0.6954,0.1670,0.5190,0.3120,0.0000,2.5513,153.0800
fmnist,adaptive_ecf,ecf_cand,60,0.7010,0.0870,0.1740,0.8590,0.0000,0.1360,8.1600
fmnist,adaptive_ecf,fedavg,60,0.8887,0.9850,0.9880,nan,nan,0.0100,0.6000
fmnist,adaptive_ecf,fltrust,60,0.6915,0.0430,0.0570,1.0000,1.0000,0.0303,1.8200
fmnist,adaptive_ecf,median,60,0.8824,0.1200,0.4620,nan,nan,0.1953,11.7200
fmnist,adaptive_ecf,multi_krum,60,0.8821,0.6630,0.6630,0.0940,0.0000,0.7965,47.7900
fmnist,adaptive_ecf,trimmed_mean,60,0.8828,0.2280,0.4690,nan,nan,0.1952,11.7100
fmnist,backdoor,ecf_base,60,0.6978,0.1650,0.5100,0.9220,0.0000,0.1593,9.5600
fmnist,backdoor,ecf_bdoor,60,0.6980,0.1680,0.5160,0.2030,0.0000,2.6087,156.5200
fmnist,backdoor,ecf_cand,60,0.7027,0.0830,0.1750,0.8590,0.0000,0.1622,9.7300
fmnist,backdoor,fedavg,60,0.8870,0.9970,0.9970,nan,nan,0.0100,0.6000
fmnist,backdoor,fltrust,60,0.6911,0.0440,0.0570,1.0000,1.0000,0.0402,2.4100
fmnist,backdoor,median,60,0.8814,0.1490,0.4620,nan,nan,0.1977,11.8600
fmnist,backdoor,multi_krum,60,0.8798,0.0130,0.1270,1.0000,1.0000,0.8075,48.4500
fmnist,backdoor,trimmed_mean,60,0.8829,0.3870,0.4690,nan,nan,0.2035,12.2100
fmnist,constrained_backdoor,ecf_base,60,0.6977,0.1640,0.5090,0.9380,0.0000,0.1352,8.1100
fmnist,constrained_backdoor,ecf_bdoor,60,0.6946,0.1750,0.5270,0.4840,0.0000,2.5445,152.6700
fmnist,constrained_backdoor,ecf_cand,60,0.7012,0.0820,0.1750,0.8440,0.0000,0.1353,8.1200
fmnist,constrained_backdoor,fedavg,60,0.8878,0.9970,0.9970,nan,nan,0.0100,0.6000
fmnist,constrained_backdoor,fltrust,60,0.6913,0.0440,0.0570,1.0000,1.0000,0.0302,1.8100
fmnist,constrained_backdoor,median,60,0.8823,0.1350,0.4620,nan,nan,0.1922,11.5300
fmnist,constrained_backdoor,multi_krum,60,0.8800,0.0120,0.1270,1.0000,1.0000,0.8000,48.0000
fmnist,constrained_backdoor,trimmed_mean,60,0.8833,0.3230,0.4690,nan,nan,0.1970,11.8200
fmnist,gaussian,ecf_base,60,0.6642,nan,nan,0.3910,0.0000,0.1592,9.5500
fmnist,gaussian,ecf_bdoor,60,0.6637,nan,nan,0.9220,0.0000,2.6543,159.2600
fmnist,gaussian,ecf_cand,60,0.6558,nan,nan,0.0470,0.0000,0.1592,9.5500
fmnist,gaussian,fedavg,60,0.0869,nan,nan,nan,nan,0.0100,0.6000
fmnist,gaussian,fltrust,60,0.6844,nan,nan,1.0000,1.0000,0.0392,2.3500
fmnist,gaussian,median,60,0.8821,nan,nan,nan,nan,0.1905,11.4300
fmnist,gaussian,multi_krum,60,0.8839,nan,nan,1.0000,1.0000,0.7973,47.8400
fmnist,gaussian,trimmed_mean,60,0.8834,nan,nan,nan,nan,0.1940,11.6400
fmnist,label_flip,ecf_base,60,0.5497,nan,nan,1.0000,1.0000,0.1638,9.8300
fmnist,label_flip,ecf_bdoor,60,0.6455,nan,nan,1.0000,1.0000,2.6155,156.9300
fmnist,label_flip,ecf_cand,60,0.6718,nan,nan,1.0000,1.0000,0.1653,9.9200
fmnist,label_flip,fedavg,60,0.8770,nan,nan,nan,nan,0.0100,0.6000
fmnist,label_flip,fltrust,60,0.6846,nan,nan,1.0000,1.0000,0.0402,2.4100
fmnist,label_flip,median,60,0.8768,nan,nan,nan,nan,0.2003,12.0200
fmnist,label_flip,multi_krum,60,0.8825,nan,nan,1.0000,1.0000,0.8082,48.4900
fmnist,label_flip,trimmed_mean,60,0.8783,nan,nan,nan,nan,0.1957,11.7400
fmnist,lie,ecf_base,60,0.6770,nan,nan,1.0000,1.0000,0.1532,9.1900
fmnist,lie,ecf_bdoor,60,0.6845,nan,nan,1.0000,1.0000,2.5960,155.7600
fmnist,lie,ecf_cand,60,0.6688,nan,nan,0.9380,0.0000,0.1527,9.1600
fmnist,lie,fedavg,60,0.8810,nan,nan,nan,nan,0.0100,0.6000
fmnist,lie,fltrust,60,0.6813,nan,nan,1.0000,1.0000,0.0317,1.9000
fmnist,lie,median,60,0.8788,nan,nan,nan,nan,0.1618,9.7100
fmnist,lie,multi_krum,60,0.8778,nan,nan,0.8120,0.0000,0.7810,46.8600
fmnist,lie,trimmed_mean,60,0.8802,nan,nan,nan,nan,0.1615,9.6900
fmnist,min_max,ecf_base,60,0.5903,nan,nan,1.0000,1.0000,0.1413,8.4800
fmnist,min_max,ecf_bdoor,60,0.6630,nan,nan,1.0000,1.0000,2.5767,154.6000
fmnist,min_max,ecf_cand,60,0.6523,nan,nan,0.9380,0.0000,0.1363,8.1800
fmnist,min_max,fedavg,60,0.1000,nan,nan,nan,nan,0.0100,0.6000
fmnist,min_max,fltrust,60,0.6846,nan,nan,1.0000,1.0000,0.0302,1.8100
fmnist,min_max,median,60,0.8509,nan,nan,nan,nan,0.1800,10.8000
fmnist,min_max,multi_krum,60,0.8839,nan,nan,1.0000,1.0000,0.8007,48.0400
fmnist,min_max,trimmed_mean,60,0.8396,nan,nan,nan,nan,0.1862,11.1700
fmnist,sign_flip,ecf_base,60,0.4972,nan,nan,0.9690,0.5000,0.1662,9.9700
fmnist,sign_flip,ecf_bdoor,60,0.6018,nan,nan,1.0000,1.0000,2.6278,157.6700
fmnist,sign_flip,ecf_cand,60,0.6172,nan,nan,0.9530,0.2500,0.1637,9.8200
fmnist,sign_flip,fedavg,60,0.8420,nan,nan,nan,nan,0.0100,0.6000
fmnist,sign_flip,fltrust,60,0.6846,nan,nan,1.0000,1.0000,0.0400,2.4000
fmnist,sign_flip,median,60,0.8597,nan,nan,nan,nan,0.1955,11.7300
fmnist,sign_flip,multi_krum,60,0.8736,nan,nan,0.9530,0.2500,0.8070,48.4200
fmnist,sign_flip,trimmed_mean,60,0.8596,nan,nan,nan,nan,0.2005,12.0300
fmnist,spurious_feature,ecf_base,60,0.7175,nan,nan,0.8120,0.0000,0.1612,9.6700
fmnist,spurious_feature,ecf_bdoor,60,0.7167,nan,nan,0.4380,0.0000,2.6217,157.3000
fmnist,spurious_feature,ecf_cand,60,0.6996,nan,nan,0.6090,0.2500,0.1635,9.8100
fmnist,spurious_feature,fedavg,60,0.8852,nan,nan,nan,nan,0.0100,0.6000
fmnist,spurious_feature,fltrust,60,0.6802,nan,nan,0.5310,0.0000,0.0400,2.4000
fmnist,spurious_feature,median,60,0.8807,nan,nan,nan,nan,0.1977,11.8600
fmnist,spurious_feature,multi_krum,60,0.8843,nan,nan,0.8440,0.5000,0.8007,48.0400
fmnist,spurious_feature,trimmed_mean,60,0.8818,nan,nan,nan,nan,0.2050,12.3000
