device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.0480 | bsr=nan | agg=0.16s | det_auroc=0.625 | tpr@5=0.00
round   2 | acc=0.0483 | bsr=nan | agg=0.15s | det_auroc=0.656 | tpr@5=0.25
round   3 | acc=0.0491 | bsr=nan | agg=0.17s | det_auroc=0.609 | tpr@5=0.25
round   4 | acc=0.0504 | bsr=nan | agg=0.16s | det_auroc=0.578 | tpr@5=0.00
round   5 | acc=0.0520 | bsr=nan | agg=0.15s | det_auroc=0.562 | tpr@5=0.00
round   6 | acc=0.0551 | bsr=nan | agg=0.15s | det_auroc=0.625 | tpr@5=0.25
round   7 | acc=0.0586 | bsr=nan | agg=0.15s | det_auroc=0.578 | tpr@5=0.00
round   8 | acc=0.0610 | bsr=nan | agg=0.18s | det_auroc=0.547 | tpr@5=0.00
round   9 | acc=0.0647 | bsr=nan | agg=0.16s | det_auroc=0.750 | tpr@5=0.00
round  10 | acc=0.0712 | bsr=nan | agg=0.18s | det_auroc=0.672 | tpr@5=0.25
round  11 | acc=0.0785 | bsr=nan | agg=0.16s | det_auroc=0.656 | tpr@5=0.00
round  12 | acc=0.0850 | bsr=nan | agg=0.17s | det_auroc=0.641 | tpr@5=0.25
round  13 | acc=0.0938 | bsr=nan | agg=0.18s | det_auroc=0.516 | tpr@5=0.25
round  14 | acc=0.1037 | bsr=nan | agg=0.17s | det_auroc=0.625 | tpr@5=0.25
round  15 | acc=0.1163 | bsr=nan | agg=0.15s | det_auroc=0.672 | tpr@5=0.00
round  16 | acc=0.1312 | bsr=nan | agg=0.16s | det_auroc=0.688 | tpr@5=0.00
round  17 | acc=0.1532 | bsr=nan | agg=0.18s | det_auroc=0.641 | tpr@5=0.00
round  18 | acc=0.1915 | bsr=nan | agg=0.15s | det_auroc=0.562 | tpr@5=0.00
round  19 | acc=0.2362 | bsr=nan | agg=0.17s | det_auroc=0.609 | tpr@5=0.00
round  20 | acc=0.2841 | bsr=nan | agg=0.18s | det_auroc=0.672 | tpr@5=0.00
round  21 | acc=0.3235 | bsr=nan | agg=0.15s | det_auroc=0.672 | tpr@5=0.00
round  22 | acc=0.3526 | bsr=nan | agg=0.13s | det_auroc=0.547 | tpr@5=0.00
round  23 | acc=0.3751 | bsr=nan | agg=0.15s | det_auroc=0.688 | tpr@5=0.00
round  24 | acc=0.3919 | bsr=nan | agg=0.17s | det_auroc=0.609 | tpr@5=0.00
round  25 | acc=0.4095 | bsr=nan | agg=0.14s | det_auroc=0.625 | tpr@5=0.25
round  26 | acc=0.4238 | bsr=nan | agg=0.16s | det_auroc=0.703 | tpr@5=0.25
round  27 | acc=0.4384 | bsr=nan | agg=0.17s | det_auroc=0.609 | tpr@5=0.25
round  28 | acc=0.4545 | bsr=nan | agg=0.18s | det_auroc=0.688 | tpr@5=0.25
round  29 | acc=0.4749 | bsr=nan | agg=0.13s | det_auroc=0.609 | tpr@5=0.25
round  30 | acc=0.4961 | bsr=nan | agg=0.16s | det_auroc=0.703 | tpr@5=0.00
round  31 | acc=0.5164 | bsr=nan | agg=0.17s | det_auroc=0.578 | tpr@5=0.25
