device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.0477 | bsr=nan | agg=0.17s | det_auroc=0.609 | tpr@5=0.00
round   2 | acc=0.0479 | bsr=nan | agg=0.16s | det_auroc=0.594 | tpr@5=0.00
round   3 | acc=0.0485 | bsr=nan | agg=0.18s | det_auroc=0.625 | tpr@5=0.00
round   4 | acc=0.0502 | bsr=nan | agg=0.19s | det_auroc=0.688 | tpr@5=0.00
round   5 | acc=0.0520 | bsr=nan | agg=0.17s | det_auroc=0.547 | tpr@5=0.25
round   6 | acc=0.0551 | bsr=nan | agg=0.17s | det_auroc=0.750 | tpr@5=0.25
round   7 | acc=0.0584 | bsr=nan | agg=0.17s | det_auroc=0.672 | tpr@5=0.00
round   8 | acc=0.0609 | bsr=nan | agg=0.17s | det_auroc=0.641 | tpr@5=0.00
round   9 | acc=0.0649 | bsr=nan | agg=0.17s | det_auroc=0.656 | tpr@5=0.00
round  10 | acc=0.0711 | bsr=nan | agg=0.17s | det_auroc=0.609 | tpr@5=0.00
round  11 | acc=0.0783 | bsr=nan | agg=0.19s | det_auroc=0.594 | tpr@5=0.00
round  12 | acc=0.0848 | bsr=nan | agg=0.19s | det_auroc=0.688 | tpr@5=0.00
round  13 | acc=0.0938 | bsr=nan | agg=0.16s | det_auroc=0.688 | tpr@5=0.00
round  14 | acc=0.1035 | bsr=nan | agg=0.15s | det_auroc=0.656 | tpr@5=0.00
round  15 | acc=0.1171 | bsr=nan | agg=0.18s | det_auroc=0.625 | tpr@5=0.00
round  16 | acc=0.1320 | bsr=nan | agg=0.17s | det_auroc=0.641 | tpr@5=0.00
round  17 | acc=0.1546 | bsr=nan | agg=0.17s | det_auroc=0.672 | tpr@5=0.00
round  18 | acc=0.1932 | bsr=nan | agg=0.16s | det_auroc=0.750 | tpr@5=0.00
round  19 | acc=0.2396 | bsr=nan | agg=0.16s | det_auroc=0.734 | tpr@5=0.00
round  20 | acc=0.2885 | bsr=nan | agg=0.14s | det_auroc=0.609 | tpr@5=0.00
round  21 | acc=0.3266 | bsr=nan | agg=0.17s | det_auroc=0.625 | tpr@5=0.00
round  22 | acc=0.3563 | bsr=nan | agg=0.18s | det_auroc=0.594 | tpr@5=0.25
round  23 | acc=0.3773 | bsr=nan | agg=0.15s | det_auroc=0.766 | tpr@5=0.00
round  24 | acc=0.3952 | bsr=nan | agg=0.17s | det_auroc=0.641 | tpr@5=0.00
round  25 | acc=0.4117 | bsr=nan | agg=0.16s | det_auroc=0.703 | tpr@5=0.00
round  26 | acc=0.4271 | bsr=nan | agg=0.15s | det_auroc=0.688 | tpr@5=0.00
round  27 | acc=0.4420 | bsr=nan | agg=0.16s | det_auroc=0.719 | tpr@5=0.25
round  28 | acc=0.4595 | bsr=nan | agg=0.17s | det_auroc=0.688 | tpr@5=0.25
round  29 | acc=0.4789 | bsr=nan | agg=0.16s | det_auroc=0.703 | tpr@5=0.00
round  30 | acc=0.5006 | bsr=nan | agg=0.17s | det_auroc=0.750 | tpr@5=0.00
round  31 | acc=0.5202 | bsr=nan | agg=0.17s | det_auroc=0.719 | tpr@5=0.00
round  32 | acc=0.5403 | bsr=nan | agg=0.15s | det_auroc=0.750 | tpr@5=0.00
round  33 | acc=0.5567 | bsr=nan | agg=0.17s | det_auroc=0.656 | tpr@5=0.00
round  34 | acc=0.5747 | bsr=nan | agg=0.16s | det_auroc=0.719 | tpr@5=0.00
round  35 | acc=0.5890 | bsr=nan | agg=0.16s | det_auroc=0.734 | tpr@5=0.25
round  36 | acc=0.6035 | bsr=nan | agg=0.15s | det_auroc=0.719 | tpr@5=0.00
round  37 | acc=0.6169 | bsr=nan | agg=0.14s | det_auroc=0.719 | tpr@5=0.00
round  38 | acc=0.6272 | bsr=nan | agg=0.16s | det_auroc=0.688 | tpr@5=0.00
round  39 | acc=0.6360 | bsr=nan | agg=0.15s | det_auroc=0.562 | tpr@5=0.00
round  40 | acc=0.6414 | bsr=nan | agg=0.15s | det_auroc=0.672 | tpr@5=0.00
round  41 | acc=0.6464 | bsr=nan | agg=0.15s | det_auroc=0.688 | tpr@5=0.00
round  42 | acc=0.6537 | bsr=nan | agg=0.16s | det_auroc=0.688 | tpr@5=0.00
round  43 | acc=0.6577 | bsr=nan | agg=0.17s | det_auroc=0.703 | tpr@5=0.25
round  44 | acc=0.6630 | bsr=nan | agg=0.15s | det_auroc=0.688 | tpr@5=0.25
round  45 | acc=0.6673 | bsr=nan | agg=0.16s | det_auroc=0.719 | tpr@5=0.00
round  46 | acc=0.6709 | bsr=nan | agg=0.16s | det_auroc=0.766 | tpr@5=0.25
round  47 | acc=0.6758 | bsr=nan | agg=0.14s | det_auroc=0.703 | tpr@5=0.25
round  48 | acc=0.6790 | bsr=nan | agg=0.13s | det_auroc=0.578 | tpr@5=0.25
round  49 | acc=0.6803 | bsr=nan | agg=0.14s | det_auroc=0.703 | tpr@5=0.25
round  50 | acc=0.6825 | bsr=nan | agg=0.15s | det_auroc=0.656 | tpr@5=0.25
round  51 | acc=0.6860 | bsr=nan | agg=0.15s | det_auroc=0.688 | tpr@5=0.25
round  52 | acc=0.6894 | bsr=nan | agg=0.15s | det_auroc=0.719 | tpr@5=0.25
