matrix,attack,defense,attribution,rounds,final_acc,final_bsr,peak_bsr,final_auroc,final_tpr
matrix1,backdoor,ecf,grad_x_input,60,0.8101,0.413,0.482,0.359,0.0
matrix1,backdoor,ecf,gradient_shap,60,0.8101,0.414,0.486,0.344,0.0
matrix1,backdoor,ecf,integrated_gradients,60,0.81,0.413,0.492,0.344,0.0
matrix1,backdoor,fedavg,,60,0.8889,0.996,0.996,nan,nan
matrix1,backdoor,fltrust,,60,0.7954,0.034,0.114,0.938,0.0
matrix1,backdoor,median,,60,0.8826,0.131,0.482,nan,nan
matrix1,backdoor,multi_krum,,60,0.8833,0.014,0.228,1.0,1.0
matrix1,backdoor,trimmed_mean,,60,0.8843,0.338,0.497,nan,nan
matrix1,gaussian,ecf,grad_x_input,60,0.798,nan,nan,0.0,0.0
matrix1,gaussian,ecf,gradient_shap,60,0.7969,nan,nan,0.0,0.0
matrix1,gaussian,ecf,integrated_gradients,60,0.7965,nan,nan,0.0,0.0
matrix1,gaussian,fedavg,,60,0.101,nan,nan,nan,nan
matrix1,gaussian,fltrust,,60,0.7965,nan,nan,0.672,0.0
matrix1,gaussian,median,,60,0.8821,nan,nan,nan,nan
matrix1,gaussian,multi_krum,,60,0.8844,nan,nan,1.0,1.0
matrix1,gaussian,trimmed_mean,,60,0.8842,nan,nan,nan,nan
matrix1,label_flip,ecf,grad_x_input,60,0.8148,nan,nan,1.0,1.0
matrix1,label_flip,ecf,gradient_shap,60,0.8146,nan,nan,1.0,1.0
matrix1,label_flip,ecf,integrated_gradients,60,0.8144,nan,nan,1.0,1.0
matrix1,label_flip,fedavg,,60,0.873,nan,nan,nan,nan
matrix1,label_flip,fltrust,,60,0.7964,nan,nan,0.812,0.0
matrix1,label_flip,median,,60,0.8778,nan,nan,nan,nan
matrix1,label_flip,multi_krum,,60,0.8842,nan,nan,1.0,1.0
matrix1,label_flip,trimmed_mean,,60,0.8784,nan,nan,nan,nan
matrix1,lie,ecf,grad_x_input,60,0.8195,nan,nan,0.938,0.0
matrix1,lie,ecf,gradient_shap,60,0.8199,nan,nan,0.188,0.0
matrix1,lie,ecf,integrated_gradients,60,0.8195,nan,nan,0.125,0.0
matrix1,lie,fedavg,,60,0.8825,nan,nan,nan,nan
matrix1,lie,fltrust,,60,0.7969,nan,nan,0.812,0.0
matrix1,lie,median,,60,0.8793,nan,nan,nan,nan
matrix1,lie,multi_krum,,60,0.8809,nan,nan,0.812,0.0
matrix1,lie,trimmed_mean,,60,0.883,nan,nan,nan,nan
matrix1,min_max,ecf,grad_x_input,60,0.7634,nan,nan,0.312,0.0
matrix1,min_max,ecf,gradient_shap,60,0.7632,nan,nan,0.5,0.0
matrix1,min_max,ecf,integrated_gradients,60,0.7635,nan,nan,0.812,0.0
matrix1,min_max,fedavg,,60,0.148,nan,nan,nan,nan
matrix1,min_max,fltrust,,60,0.7971,nan,nan,0.844,0.0
matrix1,min_max,median,,60,0.85,nan,nan,nan,nan
matrix1,min_max,multi_krum,,60,0.8845,nan,nan,1.0,1.0
matrix1,min_max,trimmed_mean,,60,0.8435,nan,nan,nan,nan
matrix1,sign_flip,ecf,grad_x_input,60,0.7675,nan,nan,0.766,0.0
matrix1,sign_flip,ecf,gradient_shap,60,0.7662,nan,nan,0.844,0.25
matrix1,sign_flip,ecf,integrated_gradients,60,0.7658,nan,nan,0.844,0.25
matrix1,sign_flip,fedavg,,60,0.8402,nan,nan,nan,nan
matrix1,sign_flip,fltrust,,60,0.787,nan,nan,0.711,0.0
matrix1,sign_flip,median,,60,0.8576,nan,nan,nan,nan
matrix1,sign_flip,multi_krum,,60,0.8764,nan,nan,0.938,0.25
matrix1,sign_flip,trimmed_mean,,60,0.8578,nan,nan,nan,nan
matrix2,adaptive_ecf,ecf,grad_x_input,60,0.8108,0.39,0.481,0.359,0.0
matrix2,adaptive_ecf,ecf,gradient_shap,60,0.8107,0.392,0.487,0.344,0.0
matrix2,adaptive_ecf,ecf,integrated_gradients,60,0.8108,0.391,0.492,0.344,0.0
matrix2,adaptive_ecf,fedavg,,60,0.8888,0.989,0.989,nan,nan
matrix2,adaptive_ecf,fltrust,,60,0.7953,0.038,0.113,0.906,0.0
matrix2,adaptive_ecf,median,,60,0.8844,0.113,0.482,nan,nan
matrix2,adaptive_ecf,multi_krum,,60,0.8833,0.532,0.532,0.031,0.0
matrix2,adaptive_ecf,trimmed_mean,,60,0.8851,0.215,0.497,nan,nan
matrix2,constrained_backdoor,ecf,grad_x_input,60,0.8105,0.395,0.483,0.312,0.0
matrix2,constrained_backdoor,ecf,gradient_shap,60,0.8109,0.396,0.488,0.344,0.0
matrix2,constrained_backdoor,ecf,integrated_gradients,60,0.8106,0.395,0.492,0.344,0.0
matrix2,constrained_backdoor,fedavg,,60,0.8886,0.996,0.996,nan,nan
matrix2,constrained_backdoor,fltrust,,60,0.7956,0.036,0.115,0.906,0.0
matrix2,constrained_backdoor,median,,60,0.8829,0.126,0.482,nan,nan
matrix2,constrained_backdoor,multi_krum,,60,0.8835,0.013,0.228,1.0,1.0
matrix2,constrained_backdoor,trimmed_mean,,60,0.8855,0.306,0.497,nan,nan
matrix2,spurious_feature,ecf,grad_x_input,60,0.8197,nan,nan,0.438,0.0
matrix2,spurious_feature,ecf,gradient_shap,60,0.8199,nan,nan,0.484,0.0
matrix2,spurious_feature,ecf,integrated_gradients,60,0.8197,nan,nan,0.453,0.0
matrix2,spurious_feature,fedavg,,60,0.8871,nan,nan,nan,nan
matrix2,spurious_feature,fltrust,,60,0.8009,nan,nan,0.617,0.0
matrix2,spurious_feature,median,,60,0.8815,nan,nan,nan,nan
matrix2,spurious_feature,multi_krum,,60,0.8834,nan,nan,0.781,0.25
matrix2,spurious_feature,trimmed_mean,,60,0.8844,nan,nan,nan,nan
matrix_real_fraud,adaptive_ecf,ecf,grad_x_input,40,0.904,0.998,0.998,0.25,0.0
matrix_real_fraud,adaptive_ecf,ecf,gradient_shap,40,0.904,0.998,0.998,0.297,0.0
