device=cuda dataset=fmnist clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0477 | bsr=0.000 | agg=0.21s | det_auroc=0.828 | tpr@5=0.25
round   2 | acc=0.0475 | bsr=0.000 | agg=0.14s | det_auroc=0.828 | tpr@5=0.00
round   3 | acc=0.0474 | bsr=0.000 | agg=0.13s | det_auroc=0.703 | tpr@5=0.50
round   4 | acc=0.0481 | bsr=0.000 | agg=0.17s | det_auroc=0.750 | tpr@5=0.25
round   5 | acc=0.0494 | bsr=0.000 | agg=0.14s | det_auroc=0.844 | tpr@5=0.00
round   6 | acc=0.0516 | bsr=0.000 | agg=0.15s | det_auroc=0.828 | tpr@5=0.25
round   7 | acc=0.0544 | bsr=0.000 | agg=0.15s | det_auroc=0.844 | tpr@5=0.25
round   8 | acc=0.0565 | bsr=0.000 | agg=0.14s | det_auroc=0.891 | tpr@5=0.50
round   9 | acc=0.0596 | bsr=0.000 | agg=0.14s | det_auroc=0.844 | tpr@5=0.25
round  10 | acc=0.0632 | bsr=0.000 | agg=0.16s | det_auroc=0.891 | tpr@5=0.25
round  11 | acc=0.0703 | bsr=0.000 | agg=0.14s | det_auroc=0.734 | tpr@5=0.00
round  12 | acc=0.0796 | bsr=0.001 | agg=0.14s | det_auroc=0.719 | tpr@5=0.00
round  13 | acc=0.0960 | bsr=0.002 | agg=0.15s | det_auroc=0.828 | tpr@5=0.50
round  14 | acc=0.1166 | bsr=0.007 | agg=0.14s | det_auroc=0.906 | tpr@5=0.50
round  15 | acc=0.1401 | bsr=0.015 | agg=0.14s | det_auroc=0.875 | tpr@5=0.25
round  16 | acc=0.1636 | bsr=0.038 | agg=0.14s | det_auroc=0.875 | tpr@5=0.25
round  17 | acc=0.1929 | bsr=0.081 | agg=0.13s | det_auroc=0.844 | tpr@5=0.50
round  18 | acc=0.2274 | bsr=0.152 | agg=0.13s | det_auroc=0.828 | tpr@5=0.25
round  19 | acc=0.2615 | bsr=0.233 | agg=0.14s | det_auroc=0.875 | tpr@5=0.25
round  20 | acc=0.2966 | bsr=0.317 | agg=0.13s | det_auroc=0.906 | tpr@5=0.50
round  21 | acc=0.3229 | bsr=0.387 | agg=0.14s | det_auroc=0.922 | tpr@5=0.50
round  22 | acc=0.3434 | bsr=0.439 | agg=0.14s | det_auroc=0.938 | tpr@5=0.50
round  23 | acc=0.3563 | bsr=0.468 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round  24 | acc=0.3630 | bsr=0.494 | agg=0.14s | det_auroc=0.906 | tpr@5=0.25
round  25 | acc=0.3694 | bsr=0.505 | agg=0.14s | det_auroc=0.906 | tpr@5=0.00
round  26 | acc=0.3757 | bsr=0.507 | agg=0.14s | det_auroc=0.922 | tpr@5=0.25
round  27 | acc=0.3800 | bsr=0.509 | agg=0.13s | det_auroc=0.922 | tpr@5=0.50
round  28 | acc=0.3861 | bsr=0.508 | agg=0.14s | det_auroc=0.938 | tpr@5=0.50
round  29 | acc=0.3911 | bsr=0.502 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
