device=cuda dataset=fmnist clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0470 | bsr=0.000 | agg=0.52s | det_auroc=0.797 | tpr@5=0.00
round   2 | acc=0.1077 | bsr=0.001 | agg=0.50s | det_auroc=0.797 | tpr@5=0.00
round   3 | acc=0.3561 | bsr=0.047 | agg=0.51s | det_auroc=0.828 | tpr@5=0.25
round   4 | acc=0.5048 | bsr=0.168 | agg=0.50s | det_auroc=0.906 | tpr@5=0.50
round   5 | acc=0.6056 | bsr=0.156 | agg=0.52s | det_auroc=0.938 | tpr@5=0.50
round   6 | acc=0.6519 | bsr=0.109 | agg=0.48s | det_auroc=0.953 | tpr@5=0.50
round   7 | acc=0.6663 | bsr=0.070 | agg=0.49s | det_auroc=0.938 | tpr@5=0.50
round   8 | acc=0.6709 | bsr=0.059 | agg=0.50s | det_auroc=0.891 | tpr@5=0.25
round   9 | acc=0.6824 | bsr=0.056 | agg=0.50s | det_auroc=0.859 | tpr@5=0.00
round  10 | acc=0.6850 | bsr=0.058 | agg=0.52s | det_auroc=0.797 | tpr@5=0.00
round  11 | acc=0.6817 | bsr=0.052 | agg=0.49s | det_auroc=0.750 | tpr@5=0.00
round  12 | acc=0.6939 | bsr=0.059 | agg=0.45s | det_auroc=0.797 | tpr@5=0.00
round  13 | acc=0.7013 | bsr=0.070 | agg=0.47s | det_auroc=0.719 | tpr@5=0.00
round  14 | acc=0.7108 | bsr=0.074 | agg=0.52s | det_auroc=0.734 | tpr@5=0.00
round  15 | acc=0.7079 | bsr=0.075 | agg=0.50s | det_auroc=0.578 | tpr@5=0.00
round  16 | acc=0.7183 | bsr=0.073 | agg=0.46s | det_auroc=0.531 | tpr@5=0.00
round  17 | acc=0.7236 | bsr=0.078 | agg=0.50s | det_auroc=0.594 | tpr@5=0.00
round  18 | acc=0.7319 | bsr=0.087 | agg=0.50s | det_auroc=0.484 | tpr@5=0.00
round  19 | acc=0.7383 | bsr=0.085 | agg=0.52s | det_auroc=0.438 | tpr@5=0.00
round  20 | acc=0.7417 | bsr=0.091 | agg=0.50s | det_auroc=0.375 | tpr@5=0.00
round  21 | acc=0.7461 | bsr=0.096 | agg=0.50s | det_auroc=0.438 | tpr@5=0.00
round  22 | acc=0.7468 | bsr=0.094 | agg=0.50s | det_auroc=0.469 | tpr@5=0.00
round  23 | acc=0.7508 | bsr=0.098 | agg=0.52s | det_auroc=0.406 | tpr@5=0.00
round  24 | acc=0.7555 | bsr=0.097 | agg=0.51s | det_auroc=0.422 | tpr@5=0.00
round  25 | acc=0.7589 | bsr=0.103 | agg=0.42s | det_auroc=0.312 | tpr@5=0.00
round  26 | acc=0.7607 | bsr=0.103 | agg=0.51s | det_auroc=0.281 | tpr@5=0.00
round  27 | acc=0.7629 | bsr=0.109 | agg=0.50s | det_auroc=0.188 | tpr@5=0.00
round  28 | acc=0.7647 | bsr=0.113 | agg=0.48s | det_auroc=0.375 | tpr@5=0.00
round  29 | acc=0.7663 | bsr=0.117 | agg=0.49s | det_auroc=0.344 | tpr@5=0.00
round  30 | acc=0.7682 | bsr=0.122 | agg=0.47s | det_auroc=0.312 | tpr@5=0.00
round  31 | acc=0.7683 | bsr=0.124 | agg=0.45s | det_auroc=0.422 | tpr@5=0.00
round  32 | acc=0.7710 | bsr=0.129 | agg=0.41s | det_auroc=0.281 | tpr@5=0.00
round  33 | acc=0.7733 | bsr=0.137 | agg=0.50s | det_auroc=0.281 | tpr@5=0.00
round  34 | acc=0.7751 | bsr=0.138 | agg=0.44s | det_auroc=0.312 | tpr@5=0.00
round  35 | acc=0.7776 | bsr=0.150 | agg=0.43s | det_auroc=0.359 | tpr@5=0.00
round  36 | acc=0.7796 | bsr=0.159 | agg=0.50s | det_auroc=0.234 | tpr@5=0.00
round  37 | acc=0.7809 | bsr=0.172 | agg=0.51s | det_auroc=0.250 | tpr@5=0.00
round  38 | acc=0.7838 | bsr=0.177 | agg=0.49s | det_auroc=0.312 | tpr@5=0.00
round  39 | acc=0.7862 | bsr=0.181 | agg=0.50s | det_auroc=0.203 | tpr@5=0.00
round  40 | acc=0.7883 | bsr=0.186 | agg=0.39s | det_auroc=0.172 | tpr@5=0.00
round  41 | acc=0.7902 | bsr=0.194 | agg=0.48s | det_auroc=0.250 | tpr@5=0.00
round  42 | acc=0.7913 | bsr=0.204 | agg=0.48s | det_auroc=0.297 | tpr@5=0.00
round  43 | acc=0.7921 | bsr=0.224 | agg=0.42s | det_auroc=0.062 | tpr@5=0.00
round  44 | acc=0.7933 | bsr=0.241 | agg=0.51s | det_auroc=0.219 | tpr@5=0.00
round  45 | acc=0.7934 | bsr=0.248 | agg=0.47s | det_auroc=0.188 | tpr@5=0.00
round  46 | acc=0.7958 | bsr=0.251 | agg=0.49s | det_auroc=0.188 | tpr@5=0.00
round  47 | acc=0.7967 | bsr=0.261 | agg=0.49s | det_auroc=0.094 | tpr@5=0.00
round  48 | acc=0.7990 | bsr=0.279 | agg=0.50s | det_auroc=0.203 | tpr@5=0.00
round  49 | acc=0.7996 | bsr=0.290 | agg=0.42s | det_auroc=0.266 | tpr@5=0.00
round  50 | acc=0.8031 | bsr=0.299 | agg=0.45s | det_auroc=0.250 | tpr@5=0.00
round  51 | acc=0.8057 | bsr=0.308 | agg=0.43s | det_auroc=0.234 | tpr@5=0.00
round  52 | acc=0.8061 | bsr=0.319 | agg=0.47s | det_auroc=0.328 | tpr@5=0.00
round  53 | acc=0.8050 | bsr=0.336 | agg=0.50s | det_auroc=0.281 | tpr@5=0.00
round  54 | acc=0.8045 | bsr=0.346 | agg=0.49s | det_auroc=0.250 | tpr@5=0.00
round  55 | acc=0.8073 | bsr=0.358 | agg=0.49s | det_auroc=0.328 | tpr@5=0.00
round  56 | acc=0.8082 | bsr=0.371 | agg=0.49s | det_auroc=0.328 | tpr@5=0.00
round  57 | acc=0.8091 | bsr=0.382 | agg=0.47s | det_auroc=0.328 | tpr@5=0.00
round  58 | acc=0.8102 | bsr=0.397 | agg=0.49s | det_auroc=0.219 | tpr@5=0.00
round  59 | acc=0.8112 | bsr=0.417 | agg=0.43s | det_auroc=0.266 | tpr@5=0.00
