device=cuda dataset=fmnist clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0546 | bsr=0.000 | agg=0.54s | det_auroc=0.797 | tpr@5=0.00
round   2 | acc=0.1327 | bsr=0.011 | agg=0.43s | det_auroc=0.781 | tpr@5=0.00
round   3 | acc=0.3483 | bsr=0.438 | agg=0.46s | det_auroc=0.859 | tpr@5=0.25
round   4 | acc=0.3963 | bsr=0.492 | agg=0.47s | det_auroc=0.938 | tpr@5=0.50
round   5 | acc=0.5031 | bsr=0.427 | agg=0.45s | det_auroc=0.953 | tpr@5=0.50
round   6 | acc=0.6077 | bsr=0.330 | agg=0.51s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.6664 | bsr=0.238 | agg=0.48s | det_auroc=0.984 | tpr@5=0.75
round   8 | acc=0.6944 | bsr=0.158 | agg=0.52s | det_auroc=0.922 | tpr@5=0.25
round   9 | acc=0.6930 | bsr=0.124 | agg=0.49s | det_auroc=0.906 | tpr@5=0.00
round  10 | acc=0.6979 | bsr=0.110 | agg=0.43s | det_auroc=0.828 | tpr@5=0.00
round  11 | acc=0.6940 | bsr=0.095 | agg=0.44s | det_auroc=0.750 | tpr@5=0.00
round  12 | acc=0.7017 | bsr=0.095 | agg=0.50s | det_auroc=0.844 | tpr@5=0.00
round  13 | acc=0.7134 | bsr=0.098 | agg=0.46s | det_auroc=0.734 | tpr@5=0.00
round  14 | acc=0.7203 | bsr=0.098 | agg=0.39s | det_auroc=0.688 | tpr@5=0.00
round  15 | acc=0.7249 | bsr=0.095 | agg=0.49s | det_auroc=0.609 | tpr@5=0.00
round  16 | acc=0.7309 | bsr=0.093 | agg=0.41s | det_auroc=0.516 | tpr@5=0.00
round  17 | acc=0.7329 | bsr=0.096 | agg=0.46s | det_auroc=0.578 | tpr@5=0.00
round  18 | acc=0.7388 | bsr=0.103 | agg=0.48s | det_auroc=0.516 | tpr@5=0.00
round  19 | acc=0.7431 | bsr=0.104 | agg=0.51s | det_auroc=0.469 | tpr@5=0.00
round  20 | acc=0.7451 | bsr=0.111 | agg=0.41s | det_auroc=0.375 | tpr@5=0.00
round  21 | acc=0.7472 | bsr=0.115 | agg=0.40s | det_auroc=0.453 | tpr@5=0.00
round  22 | acc=0.7484 | bsr=0.115 | agg=0.41s | det_auroc=0.469 | tpr@5=0.00
round  23 | acc=0.7518 | bsr=0.116 | agg=0.43s | det_auroc=0.375 | tpr@5=0.00
