device=cuda dataset=fmnist clients=20 malicious=4 defense=fltrust attack=backdoor
round   1 | acc=0.0508 | bsr=0.000 | agg=0.05s | det_auroc=0.969 | tpr@5=0.50
round   2 | acc=0.0531 | bsr=0.000 | agg=0.06s | det_auroc=0.969 | tpr@5=0.50
round   3 | acc=0.0565 | bsr=0.000 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   4 | acc=0.0601 | bsr=0.000 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   5 | acc=0.0629 | bsr=0.000 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.0664 | bsr=0.000 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.0709 | bsr=0.000 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   8 | acc=0.0757 | bsr=0.000 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   9 | acc=0.0807 | bsr=0.000 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round  10 | acc=0.0849 | bsr=0.000 | agg=0.05s | det_auroc=0.984 | tpr@5=0.75
round  11 | acc=0.0904 | bsr=0.000 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round  12 | acc=0.0941 | bsr=0.000 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  13 | acc=0.0976 | bsr=0.000 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  14 | acc=0.1037 | bsr=0.000 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  15 | acc=0.1103 | bsr=0.000 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.1238 | bsr=0.000 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.1454 | bsr=0.000 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  18 | acc=0.1760 | bsr=0.000 | agg=0.05s | det_auroc=0.984 | tpr@5=0.75
round  19 | acc=0.2072 | bsr=0.000 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  20 | acc=0.2366 | bsr=0.001 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.2629 | bsr=0.002 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.2892 | bsr=0.004 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  23 | acc=0.3231 | bsr=0.006 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  24 | acc=0.3600 | bsr=0.010 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  25 | acc=0.3956 | bsr=0.014 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  26 | acc=0.4294 | bsr=0.020 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  27 | acc=0.4605 | bsr=0.026 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  28 | acc=0.4892 | bsr=0.033 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.5195 | bsr=0.040 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  30 | acc=0.5508 | bsr=0.045 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.5773 | bsr=0.048 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.6005 | bsr=0.051 | agg=0.05s | det_auroc=0.984 | tpr@5=0.75
round  33 | acc=0.6206 | bsr=0.053 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.6350 | bsr=0.054 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
