device=cuda dataset=fmnist clients=20 malicious=4 defense=median attack=backdoor
round   1 | acc=0.3778 | bsr=0.461 | agg=0.20s
round   2 | acc=0.6143 | bsr=0.010 | agg=0.20s
round   3 | acc=0.6728 | bsr=0.058 | agg=0.18s
round   4 | acc=0.7219 | bsr=0.031 | agg=0.18s
round   5 | acc=0.7320 | bsr=0.049 | agg=0.17s
round   6 | acc=0.7536 | bsr=0.039 | agg=0.18s
round   7 | acc=0.7640 | bsr=0.038 | agg=0.18s
round   8 | acc=0.7734 | bsr=0.036 | agg=0.19s
round   9 | acc=0.7820 | bsr=0.042 | agg=0.17s
round  10 | acc=0.7861 | bsr=0.035 | agg=0.18s
round  11 | acc=0.7927 | bsr=0.038 | agg=0.17s
round  12 | acc=0.7997 | bsr=0.042 | agg=0.19s
round  13 | acc=0.8060 | bsr=0.047 | agg=0.18s
round  14 | acc=0.8076 | bsr=0.043 | agg=0.18s
round  15 | acc=0.8122 | bsr=0.039 | agg=0.19s
round  16 | acc=0.8220 | bsr=0.044 | agg=0.18s
round  17 | acc=0.8230 | bsr=0.040 | agg=0.17s
round  18 | acc=0.8226 | bsr=0.046 | agg=0.18s
round  19 | acc=0.8321 | bsr=0.047 | agg=0.18s
round  20 | acc=0.8368 | bsr=0.040 | agg=0.19s
round  21 | acc=0.8356 | bsr=0.047 | agg=0.18s
round  22 | acc=0.8404 | bsr=0.041 | agg=0.19s
round  23 | acc=0.8436 | bsr=0.042 | agg=0.19s
round  24 | acc=0.8471 | bsr=0.040 | agg=0.20s
round  25 | acc=0.8471 | bsr=0.043 | agg=0.19s
round  26 | acc=0.8504 | bsr=0.040 | agg=0.20s
round  27 | acc=0.8542 | bsr=0.041 | agg=0.19s
round  28 | acc=0.8545 | bsr=0.042 | agg=0.19s
round  29 | acc=0.8586 | bsr=0.043 | agg=0.19s
round  30 | acc=0.8607 | bsr=0.049 | agg=0.19s
round  31 | acc=0.8590 | bsr=0.037 | agg=0.19s
round  32 | acc=0.8613 | bsr=0.044 | agg=0.19s
round  33 | acc=0.8635 | bsr=0.050 | agg=0.18s
round  34 | acc=0.8630 | bsr=0.046 | agg=0.18s
round  35 | acc=0.8640 | bsr=0.051 | agg=0.20s
round  36 | acc=0.8648 | bsr=0.048 | agg=0.20s
round  37 | acc=0.8661 | bsr=0.056 | agg=0.19s
round  38 | acc=0.8675 | bsr=0.055 | agg=0.19s
round  39 | acc=0.8693 | bsr=0.065 | agg=0.19s
round  40 | acc=0.8690 | bsr=0.059 | agg=0.19s
round  41 | acc=0.8701 | bsr=0.062 | agg=0.18s
round  42 | acc=0.8711 | bsr=0.064 | agg=0.18s
round  43 | acc=0.8721 | bsr=0.068 | agg=0.20s
round  44 | acc=0.8744 | bsr=0.070 | agg=0.18s
round  45 | acc=0.8741 | bsr=0.068 | agg=0.18s
round  46 | acc=0.8757 | bsr=0.083 | agg=0.19s
round  47 | acc=0.8752 | bsr=0.083 | agg=0.19s
round  48 | acc=0.8776 | bsr=0.085 | agg=0.19s
round  49 | acc=0.8774 | bsr=0.082 | agg=0.18s
round  50 | acc=0.8763 | bsr=0.101 | agg=0.18s
round  51 | acc=0.8790 | bsr=0.091 | agg=0.18s
round  52 | acc=0.8797 | bsr=0.105 | agg=0.19s
round  53 | acc=0.8789 | bsr=0.103 | agg=0.19s
round  54 | acc=0.8796 | bsr=0.107 | agg=0.19s
round  55 | acc=0.8816 | bsr=0.113 | agg=0.19s
round  56 | acc=0.8831 | bsr=0.120 | agg=0.19s
round  57 | acc=0.8819 | bsr=0.124 | agg=0.19s
round  58 | acc=0.8825 | bsr=0.127 | agg=0.19s
round  59 | acc=0.8809 | bsr=0.137 | agg=0.19s
round  60 | acc=0.8813 | bsr=0.150 | agg=0.19s
