device=cuda dataset=fmnist clients=20 malicious=4 defense=multi_krum attack=backdoor
round   1 | acc=0.4659 | bsr=0.128 | agg=1.14s | det_auroc=0.672 | tpr@5=0.00
round   2 | acc=0.6310 | bsr=0.024 | agg=1.12s | det_auroc=0.969 | tpr@5=0.50
round   3 | acc=0.6886 | bsr=0.031 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7340 | bsr=0.018 | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7408 | bsr=0.029 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7623 | bsr=0.022 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7712 | bsr=0.024 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7713 | bsr=0.022 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7847 | bsr=0.023 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7937 | bsr=0.018 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7945 | bsr=0.019 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8027 | bsr=0.021 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8121 | bsr=0.023 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8102 | bsr=0.022 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8118 | bsr=0.017 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8275 | bsr=0.018 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8250 | bsr=0.015 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8245 | bsr=0.014 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8382 | bsr=0.020 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8378 | bsr=0.014 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8368 | bsr=0.019 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8407 | bsr=0.015 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8489 | bsr=0.015 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8514 | bsr=0.013 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8486 | bsr=0.015 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8494 | bsr=0.013 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8545 | bsr=0.013 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8552 | bsr=0.012 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8544 | bsr=0.013 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8587 | bsr=0.013 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8579 | bsr=0.012 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8573 | bsr=0.012 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8638 | bsr=0.013 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8616 | bsr=0.011 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8613 | bsr=0.012 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8612 | bsr=0.009 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8645 | bsr=0.013 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8663 | bsr=0.010 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8708 | bsr=0.013 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.8681 | bsr=0.012 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.8691 | bsr=0.011 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.8694 | bsr=0.012 | agg=1.15s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.8732 | bsr=0.013 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.8722 | bsr=0.012 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.8712 | bsr=0.010 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.8749 | bsr=0.014 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.8742 | bsr=0.011 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.8756 | bsr=0.013 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.8774 | bsr=0.013 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.8793 | bsr=0.014 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.8775 | bsr=0.010 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.8797 | bsr=0.013 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.8806 | bsr=0.012 | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8824 | bsr=0.011 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8835 | bsr=0.010 | agg=1.15s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.8815 | bsr=0.011 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.8818 | bsr=0.012 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8823 | bsr=0.011 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.8846 | bsr=0.011 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.8802 | bsr=0.012 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
