device=cuda dataset=fmnist clients=20 malicious=4 defense=trimmed_mean attack=backdoor
round   1 | acc=0.3868 | bsr=0.468 | agg=0.14s
round   2 | acc=0.6214 | bsr=0.010 | agg=0.14s
round   3 | acc=0.6847 | bsr=0.061 | agg=0.14s
round   4 | acc=0.7305 | bsr=0.027 | agg=0.13s
round   5 | acc=0.7335 | bsr=0.051 | agg=0.12s
round   6 | acc=0.7602 | bsr=0.035 | agg=0.13s
round   7 | acc=0.7659 | bsr=0.038 | agg=0.13s
round   8 | acc=0.7774 | bsr=0.034 | agg=0.13s
round   9 | acc=0.7864 | bsr=0.038 | agg=0.13s
round  10 | acc=0.7919 | bsr=0.034 | agg=0.13s
round  11 | acc=0.7992 | bsr=0.038 | agg=0.13s
round  12 | acc=0.8042 | bsr=0.044 | agg=0.13s
round  13 | acc=0.8104 | bsr=0.047 | agg=0.14s
round  14 | acc=0.8116 | bsr=0.045 | agg=0.14s
round  15 | acc=0.8175 | bsr=0.044 | agg=0.13s
round  16 | acc=0.8253 | bsr=0.048 | agg=0.13s
round  17 | acc=0.8292 | bsr=0.043 | agg=0.12s
round  18 | acc=0.8288 | bsr=0.052 | agg=0.13s
round  19 | acc=0.8384 | bsr=0.052 | agg=0.14s
round  20 | acc=0.8400 | bsr=0.050 | agg=0.14s
round  21 | acc=0.8410 | bsr=0.056 | agg=0.13s
round  22 | acc=0.8437 | bsr=0.050 | agg=0.13s
round  23 | acc=0.8482 | bsr=0.056 | agg=0.13s
round  24 | acc=0.8508 | bsr=0.050 | agg=0.13s
round  25 | acc=0.8516 | bsr=0.057 | agg=0.13s
round  26 | acc=0.8530 | bsr=0.053 | agg=0.13s
round  27 | acc=0.8558 | bsr=0.059 | agg=0.13s
round  28 | acc=0.8568 | bsr=0.062 | agg=0.14s
round  29 | acc=0.8598 | bsr=0.065 | agg=0.14s
round  30 | acc=0.8618 | bsr=0.074 | agg=0.15s
round  31 | acc=0.8618 | bsr=0.062 | agg=0.13s
round  32 | acc=0.8626 | bsr=0.075 | agg=0.14s
round  33 | acc=0.8643 | bsr=0.083 | agg=0.12s
round  34 | acc=0.8641 | bsr=0.080 | agg=0.14s
round  35 | acc=0.8658 | bsr=0.088 | agg=0.13s
round  36 | acc=0.8654 | bsr=0.085 | agg=0.13s
round  37 | acc=0.8678 | bsr=0.099 | agg=0.13s
round  38 | acc=0.8688 | bsr=0.103 | agg=0.13s
round  39 | acc=0.8715 | bsr=0.113 | agg=0.13s
round  40 | acc=0.8726 | bsr=0.113 | agg=0.13s
round  41 | acc=0.8721 | bsr=0.118 | agg=0.14s
round  42 | acc=0.8720 | bsr=0.123 | agg=0.13s
round  43 | acc=0.8737 | bsr=0.134 | agg=0.12s
round  44 | acc=0.8762 | bsr=0.135 | agg=0.12s
round  45 | acc=0.8739 | bsr=0.134 | agg=0.13s
round  46 | acc=0.8763 | bsr=0.161 | agg=0.13s
round  47 | acc=0.8771 | bsr=0.172 | agg=0.14s
round  48 | acc=0.8779 | bsr=0.176 | agg=0.13s
round  49 | acc=0.8790 | bsr=0.185 | agg=0.13s
round  50 | acc=0.8773 | bsr=0.213 | agg=0.14s
round  51 | acc=0.8774 | bsr=0.210 | agg=0.14s
round  52 | acc=0.8807 | bsr=0.234 | agg=0.13s
round  53 | acc=0.8807 | bsr=0.241 | agg=0.13s
round  54 | acc=0.8799 | bsr=0.255 | agg=0.13s
round  55 | acc=0.8810 | bsr=0.271 | agg=0.13s
round  56 | acc=0.8827 | bsr=0.282 | agg=0.14s
round  57 | acc=0.8825 | bsr=0.298 | agg=0.13s
round  58 | acc=0.8834 | bsr=0.324 | agg=0.12s
round  59 | acc=0.8814 | bsr=0.342 | agg=0.13s
round  60 | acc=0.8834 | bsr=0.370 | agg=0.13s
